variant,m,game,repeat,Bhat,true_loss,covered,tightness
Pi2,500,0,0,0.6398219905281479,0.39840901505370474,1,1.6059425523840147
Pi2,500,0,1,0.6987135984083244,0.39840901505370474,1,1.753759508464283
Pi2,500,0,2,0.6807822345929031,0.39840901505370474,1,1.7087520835871022
Pi2,500,0,3,0.6763916187717616,0.39840901505370474,1,1.6977317109166954
Pi2,500,0,4,0.6886189461244334,0.39840901505370474,1,1.728422099162613
Pi2,500,0,5,0.5258570043151614,0.39840901505370474,1,1.319892332868715
Pi2,500,0,6,0.6588442537805959,0.39840901505370474,1,1.6536881167003337
Pi2,500,0,7,0.7476572604101546,0.39840901505370474,1,1.8766072858802452
Pi2,500,0,8,0.695205648697512,0.39840901505370474,1,1.744954613047096
Pi2,500,0,9,0.7437655293769123,0.39840901505370474,1,1.866839105728203
Pi2,500,0,10,0.7635971849850764,0.39840901505370474,1,1.916616231392618
Pi2,500,0,11,0.7160919648173594,0.39840901505370474,1,1.7973789190508944
Pi2,500,0,12,0.8312891722891966,0.39840901505370474,1,2.086521993427133
Pi2,500,0,13,0.6904267768927024,0.39840901505370474,1,1.732959724316565
Pi2,500,0,14,0.7105515439033463,0.39840901505370474,1,1.7834725547251118
Pi2,500,0,15,0.6942702370122589,0.39840901505370474,1,1.742606745278273
Pi2,500,0,16,0.6428443748193406,0.39840901505370474,1,1.6135286866756429
Pi2,500,0,17,0.7907718273429498,0.39840901505370474,1,1.984824131643596
Pi2,500,0,18,0.728828085937703,0.39840901505370474,1,1.8293463711895637
Pi2,500,0,19,0.7689944239252977,0.39840901505370474,1,1.9301632113461058
Pi2,500,0,20,0.6261420806763704,0.39840901505370474,1,1.5716062062299663
Pi2,500,0,21,0.7943482276440326,0.39840901505370474,1,1.9938008369036428
Pi2,500,0,22,0.7479371612335839,0.39840901505370474,1,1.8773098322907262
Pi2,500,0,23,0.6264251147168448,0.39840901505370474,1,1.5723166169631075
Pi2,500,0,24,0.9652583387382054,0.39840901505370474,1,2.422782372552716
Pi2,500,0,25,0.7494574761830943,0.39840901505370474,1,1.8811257975226012
Pi2,500,0,26,0.6961998570390968,0.39840901505370474,1,1.7474500594451923
Pi2,500,0,27,0.7131635256857558,0.39840901505370474,1,1.7900285855469982
Pi2,500,0,28,0.7070965247480583,0.39840901505370474,1,1.7748005141217578
Pi2,500,0,29,0.7463780637855713,0.39840901505370474,1,1.8733965236327823
Pi2,500,0,30,0.6692257071353576,0.39840901505370474,1,1.6797453919187728
Pi2,500,0,31,0.6084865187228716,0.39840901505370474,1,1.5272910394380732
Pi2,500,0,32,0.7558139299258761,0.39840901505370474,1,1.8970803906733735
Pi2,500,0,33,0.7057881473950576,0.39840901505370474,1,1.7715165087314069
Pi2,500,0,34,0.72451474912242,0.39840901505370474,1,1.8185199675382768
Pi2,500,0,35,0.7368628362145648,0.39840901505370474,1,1.8495134607213575
Pi2,500,0,36,0.699194018795545,0.39840901505370474,1,1.7549653556441112
Pi2,500,0,37,0.6874439088237565,0.39840901505370474,1,1.725472775085399
Pi2,500,0,38,0.6416210836472709,0.39840901505370474,1,1.6104582461839665
Pi2,500,0,39,0.8010444978906468,0.39840901505370474,1,2.0106083638259733
Pi2,500,0,40,0.6706089518425162,0.39840901505370474,1,1.6832173131225945
Pi2,500,0,41,0.7268685673551241,0.39840901505370474,1,1.8244280121451157
Pi2,500,0,42,0.7444016635606818,0.39840901505370474,1,1.8684357919469718
Pi2,500,0,43,0.7968399132664272,0.39840901505370474,1,2.0000549263650944
Pi2,500,0,44,0.6611857978202103,0.39840901505370474,1,1.6595653532867065
Pi2,500,0,45,0.6445220273022401,0.39840901505370474,1,1.6177395664989151
Pi2,500,0,46,0.6551206157476421,0.39840901505370474,1,1.6443418471826827
Pi2,500,0,47,0.5854345393270024,0.39840901505370474,1,1.469430954638632
Pi2,500,0,48,0.6137175841132322,0.39840901505370474,1,1.540420926545812
Pi2,500,0,49,0.7274884892101592,0.39840901505370474,1,1.8259840056884635
Pi2,1500,0,0,0.6235936070974016,0.39840901505370474,1,1.565209579942217
