game,base_ctilde,dec_marginal,dec_contribution,dec_random,dec_occupancy,marginal_wins,group,base_loss,new_loss,delta_loss,loss_increased,frac_marginal_wins,disagree_top1,disagree_top2,mean_dec_marginal,mean_dec_contribution,mean_dec_random,mean_dec_occupancy,viol_2a,frac_non_increase_2b,frac_rise_2c,counterex_2c,drift_count,drift_example
0.0,0.49099638268042595,0.09557909127134584,0.0927686713303591,0.05395679630664796,0.08649905390828322,1.0,1,,,,,,,,,,,,,,,,,
1.0,0.5740276543284605,0.08227283252802381,0.07767009749248,0.011435233518465981,0.07087767857984273,1.0,1,,,,,,,,,,,,,,,,,
2.0,0.43621366823673924,0.08742151670850495,0.08361763938580247,0.035298512228983336,0.06737490511030103,1.0,1,,,,,,,,,,,,,,,,,
3.0,0.4412014398182434,0.0779479389599278,0.06918330018022179,0.03749533002388411,0.05989489163450623,1.0,1,,,,,,,,,,,,,,,,,
4.0,0.46128513846497343,0.07281195887253594,0.06815243632939044,0.02184637621098101,0.047121555463608855,1.0,1,,,,,,,,,,,,,,,,,
5.0,0.4588100514993843,0.0825996751697271,0.07669528609281095,0.04210894325422604,0.06278115065896733,1.0,1,,,,,,,,,,,,,,,,,
6.0,0.4750797663024316,0.07464116471138083,0.06835068821777435,0.024809867896099402,0.05379254567231073,1.0,1,,,,,,,,,,,,,,,,,
7.0,0.47149513997096365,0.0926050363021057,0.08755568656263091,0.03755636917605243,0.07113548242270484,1.0,1,,,,,,,,,,,,,,,,,
8.0,0.5506736369200727,0.08772502051665004,0.08171522086691996,0.033021819155001464,0.07645674943668002,1.0,1,,,,,,,,,,,,,,,,,
9.0,0.5248593065176297,0.08078897171506311,0.07618023298140003,0.020580561610833548,0.06051525797771534,1.0,1,,,,,,,,,,,,,,,,,
10.0,0.4300105322459697,0.06437768445625597,0.06229516316338668,0.02201065432667315,0.044992548495586204,1.0,1,,,,,,,,,,,,,,,,,
11.0,0.39329943137013645,0.08880265495275375,0.08430181827192629,0.02610287011075557,0.06682164387592132,1.0,1,,,,,,,,,,,,,,,,,
12.0,0.45707910006661107,0.0982111356323273,0.09389053364535227,0.023218234203210897,0.07539714065608388,1.0,1,,,,,,,,,,,,,,,,,
13.0,0.4063349251055011,0.0810754587574613,0.07713767630679313,0.03396127411793737,0.06588647177067214,1.0,1,,,,,,,,,,,,,,,,,
14.0,0.42723587573202104,0.08953327540477513,0.08227934207151538,0.021053302660187567,0.0656726209134244,1.0,1,,,,,,,,,,,,,,,,,
15.0,0.49507043772095927,0.09312185118385574,0.08667502379240305,0.01156496440835969,0.06417148524980809,1.0,1,,,,,,,,,,,,,,,,,
16.0,0.36661416732628854,0.06879440669024739,0.0670798260677789,0.02599001775141352,0.0381685677076844,1.0,1,,,,,,,,,,,,,,,,,
17.0,0.2946703171869063,0.07589891962412942,0.07293122018124926,0.033304123544398656,0.0579770189534452,1.0,1,,,,,,,,,,,,,,,,,
18.0,0.493753763418673,0.08185898114765333,0.07529716536466557,0.02304632192885392,0.05138683149365508,1.0,1,,,,,,,,,,,,,,,,,
19.0,0.5996635822898742,0.07062673703070332,0.06599769277476986,0.018872987281620457,0.047772547864844306,1.0,1,,,,,,,,,,,,,,,,,
20.0,0.3448811866705263,0.07955624793130389,0.07132273174219611,0.014084582862706974,0.05892535592159587,1.0,1,,,,,,,,,,,,,,,,,
21.0,0.42131968659140134,0.07535767908636426,0.07327410204619239,0.023204559236007616,0.05755432121102405,1.0,1,,,,,,,,,,,,,,,,,
22.0,0.49177174484793573,0.08555710535079719,0.0825760370623726,0.032540971855873124,0.05572889288713545,1.0,1,,,,,,,,,,,,,,,,,
23.0,0.44600487066170363,0.07298949277252825,0.06435340323267846,0.018839392094043894,0.047314356439313254,1.0,1,,,,,,,,,,,,,,,,,
24.0,0.44832329116242087,0.05882448969962756,0.049514324790853326,0.03027061078247195,0.04271725731168763,1.0,1,,,,,,,,,,,,,,,,,
25.0,0.4404407404910429,0.0629367801434681,0.055436203769514025,0.034971080112376485,0.03454289159687063,1.0,1,,,,,,,,,,,,,,,,,
26.0,0.6495533566523592,0.08143825118251191,0.07650041439086663,0.02786576471369062,0.06861291437587447,1.0,1,,,,,,,,,,,,,,,,,
27.0,0.48078325949050277,0.07679840254238646,0.0716329139466686,0.03762004419420978,0.06562240186734991,1.0,1,,,,,,,,,,,,,,,,,
28.0,0.46604785875232985,0.08414178039516301,0.07869349302621992,0.03311437568941916,0.05466140778991074,1.0,1,,,,,,,,,,,,,,,,,
29.0,0.5355062292568675,0.09657110028024796,0.09338454998249052,0.034607788856120925,0.07781980322262388,1.0,1,,,,,,,,,,,,,,,,,
30.0,0.36415805897648124,0.06842744054581029,0.0637265046483057,0.039848507739017935,0.05646614946403877,1.0,1,,,,,,,,,,,,,,,,,
31.0,0.5997320866859481,0.07755888483876361,0.07151062228160343,0.02340959151001032,0.050305230951573576,1.0,1,,,,,,,,,,,,,,,,,
32.0,0.52761490794437,0.09223171786762147,0.08693394682857097,0.024334007683575742,0.06351024281773504,1.0,1,,,,,,,,,,,,,,,,,
33.0,0.47636838900388667,0.08738956275752086,0.08353177025306802,0.02960180160289627,0.05436857276929946,1.0,1,,,,,,,,,,,,,,,,,
34.0,0.4356213928938338,0.08896355333305123,0.0863136562264103,0.017758495648636075,0.06254853646408653,1.0,1,,,,,,,,,,,,,,,,,
35.0,0.5391100242147095,0.09288389860016488,0.09085505069842204,0.05272717497951396,0.07371456215718858,1.0,1,,,,,,,,,,,,,,,,,
36.0,0.43128651301934723,0.07798095685836753,0.06699158161051699,0.029644131680682806,0.048825961301165566,1.0,1,,,,,,,,,,,,,,,,,
37.0,0.48993422199830183,0.08894109662839184,0.0858512087584759,0.02353054205872851,0.06974092964599687,1.0,1,,,,,,,,,,,,,,,,,
38.0,0.5207229490963718,0.08494711857858833,0.07984132535962335,0.030090389571934162,0.042640065066742894,1.0,1,,,,,,,,,,,,,,,,,
39.0,0.44396200524402757,0.08916785884070294,0.08013929852729557,0.02624588859812116,0.08062107598937868,1.0,1,,,,,,,,,,,,,,,,,
40.0,0.3843947381944872,0.07659430498611441,0.07400053250694849,0.028116493228562245,0.04175053275633461,1.0,1,,,,,,,,,,,,,,,,,
41.0,0.3345022388392893,0.071383377045314,0.06892621180054342,0.01776100327461627,0.05908594733343214,1.0,1,,,,,,,,,,,,,,,,,
42.0,0.41138289583009363,0.0857267505720547,0.08109449460396595,0.021639232416577614,0.07387704869661676,1.0,1,,,,,,,,,,,,,,,,,
43.0,0.46268837200564583,0.08018713915573172,0.07866448948244747,0.04036089753622374,0.06960048703035177,1.0,1,,,,,,,,,,,,,,,,,
44.0,0.42141603814140394,0.07462285571750676,0.07251070124125503,0.02158973230225003,0.05222846143784421,1.0,1,,,,,,,,,,,,,,,,,
45.0,0.5037082242643762,0.0854007329772446,0.08160372901045093,0.01575261433516345,0.0453165636949765,1.0,1,,,,,,,,,,,,,,,,,
46.0,0.43640490353144135,0.0805881932404261,0.07963609012032341,0.02867272415727018,0.05034558235982062,1.0,1,,,,,,,,,,,,,,,,,
47.0,0.3789794992102313,0.06996425107298082,0.06705720476202215,0.02243333275512932,0.03783788498762236,1.0,1,,,,,,,,,,,,,,,,,
48.0,0.4422262266210335,0.07208254119358387,0.06950898541516387,0.016819598314042616,0.06509989078813927,1.0,1,,,,,,,,,,,,,,,,,
49.0,0.5498303968925679,0.0758567814596402,0.07287676604834387,0.0400152303019955,0.05346917020877184,1.0,1,,,,,,,,,,,,,,,,,
50.0,0.47346497375490887,0.0750604281048175,0.07304554512848904,0.030908678523327515,0.05542571303495741,1.0,1,,,,,,,,,,,,,,,,,
51.0,0.5462458244793065,0.09539647394209838,0.0875742842181863,0.04310746881774996,0.06654268179667439,1.0,1,,,,,,,,,,,,,,,,,
52.0,0.5088007773994221,0.09796607740996333,0.0920092200058178,0.030299182803302016,0.07585672002344251,1.0,1,,,,,,,,,,,,,,,,,
53.0,0.49840029324916957,0.07822138910920862,0.07490251873501624,0.027102029132713423,0.05059217242770847,1.0,1,,,,,,,,,,,,,,,,,
54.0,0.4768546244057637,0.06952490695029012,0.06629974288154733,0.043170759670337844,0.058391830626398744,1.0,1,,,,,,,,,,,,,,,,,
55.0,0.4284578414584432,0.08235885751445676,0.0771196035879641,0.021409736970857296,0.05954054615545373,1.0,1,,,,,,,,,,,,,,,,,
56.0,0.531859302093197,0.07105234150607898,0.06476445552017879,0.0238903954880354,0.04404248877972322,1.0,1,,,,,,,,,,,,,,,,,
57.0,0.6140203596514179,0.07680498705051642,0.06962944926936754,0.010971927264605386,0.05431939433275257,1.0,1,,,,,,,,,,,,,,,,,
