witness,seed,S,A,H,N,occupancy_max_err,cert_err,description,closed_form,ctilde_computed,cstar_computed,true_loss,err_Ctilde_eq_Cstar,ctilde_ge_true,c0,err_C0_eq_Cstar,gap_Ctilde_minus_true,total_ts_checked,collapsed_count,non_collapsed,max_prefix_action_dist_diff
Cstar_eq_Ctilde,13,4,3,4,5,0.0,0.0,worst-fallback => W~=W => C*=C~ exactly,0.7346571416068428,0.7346571416068428,0.7346571416068428,0.7295676302602904,0.0,1.0,,,,,,,
Cstar_eq_Ctilde,14,4,3,4,5,0.0,0.0,worst-fallback => W~=W => C*=C~ exactly,0.8192033819766391,0.8192033819766391,0.8192033819766391,0.8082481790446767,0.0,1.0,,,,,,,
Cstar_eq_Ctilde,15,4,3,4,5,0.0,0.0,worst-fallback => W~=W => C*=C~ exactly,0.6775562562575127,0.6775562562575127,0.6775562562575127,0.6737139914034347,0.0,1.0,,,,,,,
Cstar_eq_Ctilde,16,4,3,4,5,0.0,0.0,worst-fallback => W~=W => C*=C~ exactly,0.5598563755849149,0.5598563755849149,0.5598563755849149,0.5569255583780897,0.0,1.0,,,,,,,
Cstar_eq_Ctilde,17,4,3,4,5,0.0,0.0,worst-fallback => W~=W => C*=C~ exactly,0.8338510645783177,0.8338510645783177,0.8338510645783177,0.8293602348133083,0.0,1.0,,,,,,,
Cstar_eq_Ctilde,18,4,3,4,5,0.0,0.0,worst-fallback => W~=W => C*=C~ exactly,0.795069157396975,0.795069157396975,0.795069157396975,0.7859223407162332,0.0,1.0,,,,,,,
Cstar_eq_Ctilde,19,4,3,4,5,0.0,0.0,worst-fallback => W~=W => C*=C~ exactly,0.7384097537290096,0.7384097537290096,0.7384097537290096,0.729000574533244,0.0,1.0,,,,,,,
C0_eq_Cstar_n1H1,0,4,2,1,5,0.0,0.0,single-agent all-or-nothing => C0=C*=ΣρgΔr (exact),0.1297073632651333,0.06485368163256665,0.1297073632651333,0.06485368163256663,,,0.1297073632651333,0.0,,,,,
C0_eq_Cstar_n1H1,1,4,2,1,5,0.0,0.0,single-agent all-or-nothing => C0=C*=ΣρgΔr (exact),0.16670157893252943,0.08335078946626472,0.16670157893252943,0.08335078946626472,,,0.16670157893252943,0.0,,,,,
C0_eq_Cstar_n1H1,2,4,2,1,5,0.0,0.0,single-agent all-or-nothing => C0=C*=ΣρgΔr (exact),0.21066137140155838,0.10533068570077919,0.21066137140155838,0.10533068570077922,,,0.21066137140155838,0.0,,,,,
C0_eq_Cstar_n1H1,3,4,2,1,5,0.0,0.0,single-agent all-or-nothing => C0=C*=ΣρgΔr (exact),0.1138561875809608,0.0569280937904804,0.1138561875809608,0.056928093790480444,,,0.1138561875809608,0.0,,,,,
C0_eq_Cstar_n1H1,4,4,2,1,5,0.0,0.0,single-agent all-or-nothing => C0=C*=ΣρgΔr (exact),0.13949243084983928,0.06974621542491964,0.13949243084983928,0.06974621542491964,,,0.13949243084983928,0.0,,,,,
C0_eq_Cstar_n1H1,5,4,2,1,5,0.0,0.0,single-agent all-or-nothing => C0=C*=ΣρgΔr (exact),0.07128295668715834,0.03564147834357917,0.07128295668715834,0.03564147834357917,,,0.07128295668715834,0.0,,,,,
C0_eq_Cstar_n1H1,6,4,2,1,5,0.0,0.0,single-agent all-or-nothing => C0=C*=ΣρgΔr (exact),0.1841410169792996,0.0920705084896498,0.1841410169792996,0.09207050848964979,,,0.1841410169792996,0.0,,,,,
C0_eq_Cstar_n1H1,7,4,2,1,5,0.0,0.0,single-agent all-or-nothing => C0=C*=ΣρgΔr (exact),0.12258236113318627,0.061291180566593134,0.12258236113318627,0.06129118056659307,,,0.12258236113318627,0.0,,,,,
C0_eq_Cstar_n1H1,8,4,2,1,5,0.0,0.0,single-agent all-or-nothing => C0=C*=ΣρgΔr (exact),0.3068705105667229,0.15343525528336144,0.3068705105667229,0.15343525528336147,,,0.3068705105667229,0.0,,,,,
C0_eq_Cstar_n1H1,9,4,2,1,5,0.0,0.0,single-agent all-or-nothing => C0=C*=ΣρgΔr (exact),0.14270444899706963,0.07135222449853482,0.14270444899706963,0.07135222449853482,,,0.14270444899706963,0.0,,,,,
