bin_lo,bin_hi,n,cert_rise_rate,occ_dom_rate
-0.11658787778237512,-0.08160079126946793,290,0.08275862068965517,0.08275862068965517
-0.08160079126946793,-0.04661370475656075,286,0.055944055944055944,0.055944055944055944
-0.04661370475656075,-0.011626618243653575,268,0.08582089552238806,0.08582089552238806
-0.011626618243653575,0.023360468269253615,291,0.048109965635738834,0.048109965635738834
0.023360468269253615,0.058347554782160804,321,0.07165109034267912,0.07165109034267912
0.058347554782160804,0.09333464129506797,301,0.09302325581395349,0.09302325581395349
0.09333464129506797,0.12832172780797516,316,0.06962025316455696,0.06962025316455696
0.12832172780797516,0.16330881432088235,311,0.08681672025723473,0.08681672025723473
0.16330881432088235,0.1982959008337895,303,0.09900990099009901,0.09900990099009901
0.1982959008337895,0.23328298734669672,313,0.07348242811501597,0.07348242811501597
