episode,t,agent,F,score
267,2,agent_2,1,2.963470458984375
276,8,agent_0,1,2.961536407470703
263,4,agent_2,1,2.9414539337158203
74,8,agent_1,1,2.9250106811523438
190,0,agent_1,1,2.9200382232666016
80,1,agent_2,1,2.916109085083008
265,12,agent_2,1,2.915454864501953
101,4,agent_2,1,2.9025983810424805
219,11,agent_0,1,2.855891227722168
111,8,agent_2,1,2.853281021118164
137,5,agent_1,1,2.826505661010742
5,4,agent_2,1,2.8248748779296875
19,6,agent_1,1,2.810007095336914
272,1,agent_2,1,2.8074874877929688
289,2,agent_1,1,2.8028697967529297
28,7,agent_0,1,2.794118881225586
209,2,agent_2,1,2.7887802124023438
65,7,agent_0,1,2.786569595336914
280,12,agent_1,1,2.7686595916748047
176,3,agent_0,1,2.7536258697509766
86,7,agent_2,1,2.7362117767333984
201,9,agent_1,1,2.727250099182129
254,9,agent_1,1,2.7129364013671875
18,6,agent_0,1,2.7064027786254883
201,10,agent_2,1,2.7007694244384766
146,3,agent_1,1,2.6902408599853516
252,8,agent_0,1,2.675626754760742
87,7,agent_2,1,2.6743927001953125
45,6,agent_2,1,2.6604251861572266
272,3,agent_0,1,2.6556549072265625
122,3,agent_0,1,2.6555519104003906
117,4,agent_2,1,2.6416168212890625
193,4,agent_2,1,2.6298446655273438
220,2,agent_0,1,2.629261016845703
4,2,agent_0,1,2.6271095275878906
225,6,agent_1,1,2.620896339416504
145,3,agent_0,1,2.614917755126953
142,13,agent_1,1,2.6114587783813477
257,9,agent_0,1,2.5869083404541016
204,9,agent_1,1,2.586165428161621
87,5,agent_2,1,2.580411911010742
27,2,agent_1,1,2.5650634765625
267,4,agent_1,1,2.551751136779785
291,7,agent_1,1,2.5474014282226562
199,2,agent_0,1,2.5470829010009766
188,10,agent_2,1,2.5407657623291016
43,6,agent_1,1,2.5355215072631836
272,6,agent_0,1,2.525217056274414
39,1,agent_1,1,2.5112953186035156
171,9,agent_2,1,2.506326675415039
196,14,agent_2,1,2.506282329559326
233,3,agent_0,1,2.5062217712402344
208,4,agent_1,1,2.501582145690918
91,3,agent_1,1,2.492706298828125
126,3,agent_0,1,2.4862403869628906
95,1,agent_2,1,2.4799842834472656
59,7,agent_0,1,2.471773147583008
147,6,agent_0,1,2.4674463272094727
169,3,agent_2,1,2.460298538208008
15,4,agent_0,1,2.4507007598876953
259,3,agent_1,1,2.441986083984375
110,4,agent_1,1,2.437366485595703
102,11,agent_0,1,2.427639961242676
242,13,agent_1,1,2.426987648010254
69,7,agent_0,1,2.4194583892822266
167,6,agent_2,1,2.4164085388183594
65,8,agent_1,1,2.4160614013671875
137,6,agent_1,1,2.411710739135742
242,11,agent_1,1,2.4095702171325684
155,1,agent_1,1,2.408079147338867
290,4,agent_0,1,2.4031600952148438
192,0,agent_1,1,2.3889007568359375
199,6,agent_2,1,2.379732131958008
27,6,agent_0,1,2.375629425048828
24,3,agent_1,1,2.3713998794555664
204,6,agent_2,1,2.3691654205322266
140,1,agent_1,1,2.3572139739990234
133,12,agent_0,1,2.3500185012817383
99,0,agent_0,1,2.3450565338134766
260,7,agent_0,1,2.3443069458007812
24,4,agent_0,1,2.3409643173217773
204,2,agent_2,1,2.338573455810547
260,6,agent_2,1,2.3382015228271484
256,7,agent_1,1,2.3358078002929688
91,8,agent_1,1,2.3311195373535156
110,9,agent_1,1,2.323946952819824
181,6,agent_1,1,2.320937156677246
94,6,agent_0,1,2.319462776184082
148,6,agent_2,1,2.3158512115478516
32,7,agent_1,1,2.3149757385253906
160,9,agent_0,1,2.31398868560791
138,6,agent_1,1,2.312727928161621
283,4,agent_1,1,2.3032150268554688
240,6,agent_0,1,2.301253318786621
68,8,agent_0,1,2.292339324951172
284,3,agent_2,1,2.2680606842041016
27,3,agent_0,1,2.2570228576660156
262,8,agent_1,1,2.251493453979492
119,2,agent_2,1,2.2490158081054688
282,7,agent_2,1,2.2483081817626953
282,1,agent_2,1,2.248300552368164
39,2,agent_1,1,2.2459049224853516
285,13,agent_2,1,2.2412610054016113
193,14,agent_2,1,2.240880012512207
230,11,agent_0,1,2.235825538635254
262,3,agent_1,1,2.228788375854492
83,12,agent_1,1,2.2279739379882812
257,0,agent_2,1,2.224336624145508
95,3,agent_2,1,2.2238693237304688
193,6,agent_2,1,2.2201366424560547
220,4,agent_2,1,2.210820198059082
41,13,agent_1,1,2.208028793334961
52,0,agent_1,1,2.2063636779785156
238,9,agent_1,1,2.206043243408203
294,4,agent_1,1,2.203868865966797
52,11,agent_2,1,2.195467948913574
211,2,agent_0,1,2.1886959075927734
179,11,agent_0,1,2.1803083419799805
213,10,agent_0,1,2.179605484008789
40,4,agent_0,1,2.1791000366210938
117,2,agent_1,1,2.169496536254883
138,8,agent_1,1,2.1628170013427734
140,5,agent_1,1,2.1513824462890625
181,4,agent_1,1,2.1495590209960938
237,4,agent_2,1,2.1477432250976562
96,3,agent_2,1,2.1467809677124023
211,1,agent_0,1,2.145538330078125
181,2,agent_1,1,2.1453123092651367
282,10,agent_1,1,2.137737274169922
243,2,agent_2,1,2.1376953125
21,0,agent_1,1,2.1373863220214844
55,7,agent_1,1,2.1272506713867188
196,12,agent_0,1,2.124018669128418
94,0,agent_2,1,2.1229724884033203
261,1,agent_1,1,2.1095809936523438
124,8,agent_2,1,2.1004505157470703
219,11,agent_2,1,2.0986642837524414
19,0,agent_1,1,2.086109161376953
282,11,agent_1,1,2.081165313720703
125,3,agent_1,1,2.0685348510742188
294,2,agent_1,1,2.0659542083740234
282,9,agent_1,1,2.0490856170654297
96,6,agent_1,1,2.04439640045166
178,16,agent_0,1,2.0428433418273926
117,11,agent_1,1,2.0397300720214844
39,3,agent_1,1,2.0338897705078125
142,0,agent_2,1,2.0330867767333984
280,13,agent_2,1,2.0222320556640625
219,1,agent_0,1,2.0189132690429688
233,14,agent_1,1,2.012357234954834
277,2,agent_0,1,2.0117130279541016
195,5,agent_0,1,1.9979362487792969
196,11,agent_2,1,1.991459846496582
204,0,agent_1,1,1.9846343994140625
145,5,agent_1,1,1.979391098022461
287,5,agent_0,1,1.9764738082885742
25,7,agent_1,1,1.965078353881836
150,0,agent_0,1,1.9600906372070312
276,5,agent_0,1,1.9522886276245117
81,9,agent_1,1,1.9509782791137695
232,2,agent_2,1,1.9486618041992188
45,8,agent_1,1,1.9473676681518555
190,3,agent_1,1,1.9472541809082031
80,11,agent_1,1,1.9446334838867188
28,2,agent_2,1,1.9440155029296875
18,8,agent_0,1,1.9381599426269531
20,7,agent_1,1,1.9308509826660156
183,3,agent_2,1,1.9234600067138672
148,3,agent_2,1,1.9227657318115234
98,1,agent_2,1,1.9210929870605469
110,8,agent_1,1,1.9175119400024414
245,4,agent_0,1,1.907339096069336
136,7,agent_1,1,1.9004287719726562
74,15,agent_2,1,1.8987579345703125
140,4,agent_1,1,1.8943939208984375
38,1,agent_2,1,1.8932123184204102
190,1,agent_1,1,1.8891353607177734
202,5,agent_1,1,1.8865032196044922
199,5,agent_1,1,1.8859901428222656
112,8,agent_0,1,1.8822927474975586
13,11,agent_0,1,1.881326675415039
204,3,agent_2,1,1.8754959106445312
75,11,agent_2,1,1.867781639099121
133,6,agent_2,1,1.861954689025879
28,10,agent_1,1,1.860870361328125
291,9,agent_0,1,1.860733985900879
222,9,agent_1,1,1.8607053756713867
230,1,agent_0,1,1.8603477478027344
299,2,agent_1,1,1.857513427734375
280,0,agent_0,1,1.855926513671875
41,1,agent_0,1,1.8557453155517578
140,3,agent_1,1,1.852334976196289
263,1,agent_2,1,1.8453445434570312
180,11,agent_0,1,1.844925880432129
25,6,agent_1,1,1.8372230529785156
41,10,agent_1,1,1.8363771438598633
62,16,agent_1,1,1.833200454711914
246,8,agent_2,1,1.825148582458496
75,10,agent_2,1,1.8223352432250977
23,4,agent_0,1,1.8210124969482422
68,7,agent_0,1,1.814610481262207
15,8,agent_0,1,1.8118820190429688
91,6,agent_0,1,1.8055381774902344
129,16,agent_0,1,1.8030009269714355
102,14,agent_0,1,1.8023509979248047
155,13,agent_0,1,1.799543857574463
270,14,agent_0,1,1.796879768371582
219,7,agent_2,1,1.795114517211914
294,13,agent_2,1,1.7931690216064453
250,7,agent_1,1,1.790639877319336
14,9,agent_2,1,1.7838897705078125
265,4,agent_1,1,1.7811393737792969
13,3,agent_2,1,1.779611587524414
44,3,agent_1,1,1.7778549194335938
211,15,agent_0,1,1.775937557220459
294,1,agent_1,1,1.7752456665039062
285,7,agent_0,1,1.768991470336914
43,3,agent_1,1,1.7650928497314453
74,15,agent_0,1,1.7638444900512695
114,7,agent_1,1,1.763443946838379
265,3,agent_1,1,1.7602081298828125
40,6,agent_0,1,1.7536201477050781
63,15,agent_2,1,1.745877742767334
289,9,agent_0,1,1.7454371452331543
282,13,agent_1,1,1.7447624206542969
224,0,agent_0,1,1.7428531646728516
163,6,agent_0,1,1.7423458099365234
288,8,agent_1,1,1.7422609329223633
0,9,agent_2,1,1.7367029190063477
275,12,agent_1,1,1.7311334609985352
89,7,agent_0,1,1.7306804656982422
241,7,agent_2,1,1.7292566299438477
117,9,agent_2,1,1.7289295196533203
258,9,agent_1,1,1.7260351181030273
282,3,agent_0,1,1.725830078125
190,5,agent_1,1,1.7223873138427734
200,5,agent_2,1,1.7146663665771484
266,8,agent_0,1,1.7132329940795898
40,5,agent_0,1,1.7100677490234375
41,9,agent_1,1,1.7087478637695312
41,12,agent_1,1,1.7060651779174805
31,5,agent_2,1,1.7008934020996094
127,14,agent_2,1,1.700364112854004
101,1,agent_1,1,1.6987800598144531
144,5,agent_0,1,1.6986217498779297
145,7,agent_0,1,1.6965723037719727
56,5,agent_2,1,1.6928768157958984
13,12,agent_0,1,1.6922760009765625
25,8,agent_1,1,1.6858711242675781
229,14,agent_0,1,1.680863857269287
174,6,agent_0,1,1.680558204650879
221,5,agent_1,1,1.679183006286621
242,10,agent_1,1,1.6787424087524414
140,2,agent_1,1,1.676687240600586
96,11,agent_1,1,1.6754074096679688
56,3,agent_2,1,1.6669025421142578
275,9,agent_2,1,1.6662015914916992
233,13,agent_1,1,1.6658267974853516
71,16,agent_1,1,1.6549501419067383
281,9,agent_2,1,1.651371955871582
41,7,agent_1,1,1.6436872482299805
179,18,agent_1,1,1.6396703720092773
201,4,agent_1,1,1.6391353607177734
59,14,agent_1,1,1.6380233764648438
280,6,agent_0,1,1.6324195861816406
144,11,agent_1,1,1.6305160522460938
129,5,agent_0,1,1.6290388107299805
69,9,agent_0,1,1.6284942626953125
26,10,agent_1,1,1.6223936080932617
211,17,agent_0,1,1.6221961975097656
155,15,agent_0,1,1.6206026077270508
224,3,agent_0,1,1.6189727783203125
122,4,agent_0,1,1.618743896484375
246,8,agent_1,1,1.6178159713745117
278,2,agent_1,1,1.6154136657714844
202,10,agent_0,1,1.614715576171875
289,7,agent_1,1,1.6146941184997559
274,4,agent_1,1,1.6114540100097656
101,14,agent_2,1,1.6102886199951172
260,13,agent_0,1,1.6078529357910156
271,10,agent_1,1,1.6070585250854492
201,6,agent_1,1,1.6050987243652344
129,5,agent_2,1,1.604766845703125
222,8,agent_1,1,1.6010732650756836
288,10,agent_1,1,1.5999507904052734
21,1,agent_1,1,1.5994625091552734
291,13,agent_0,1,1.5975723266601562
161,17,agent_2,1,1.597092628479004
20,9,agent_1,1,1.5965728759765625
169,2,agent_0,1,1.59063720703125
58,12,agent_1,1,1.5821762084960938
246,14,agent_0,1,1.580822467803955
39,6,agent_0,1,1.5805168151855469
58,9,agent_1,1,1.579768180847168
7,9,agent_1,1,1.5713624954223633
20,14,agent_1,1,1.5696678161621094
80,14,agent_0,1,1.5638093948364258
193,10,agent_1,1,1.5619258880615234
185,12,agent_1,1,1.5606331825256348
108,11,agent_1,1,1.5571136474609375
278,7,agent_0,1,1.5561180114746094
265,1,agent_2,1,1.5541706085205078
259,5,agent_0,1,1.5536212921142578
180,0,agent_0,1,1.5515117645263672
268,0,agent_2,1,1.548666000366211
254,8,agent_0,1,1.5479297637939453
187,7,agent_2,1,1.5474395751953125
44,1,agent_0,1,1.5463066101074219
232,4,agent_1,1,1.544102668762207
83,10,agent_1,1,1.5338830947875977
6,10,agent_1,1,1.5326156616210938
140,0,agent_1,1,1.5324420928955078
219,9,agent_1,1,1.5237817764282227
195,2,agent_2,1,1.5234718322753906
266,11,agent_1,1,1.5216312408447266
124,9,agent_1,1,1.5106220245361328
156,11,agent_0,1,1.5089340209960938
124,14,agent_1,1,1.502821922302246
202,13,agent_1,1,1.500650405883789
221,4,agent_1,1,1.500269889831543
226,3,agent_2,1,1.500199317932129
147,13,agent_0,1,1.4972648620605469
83,15,agent_2,1,1.4968481063842773
128,16,agent_2,1,1.4938130378723145
107,13,agent_2,1,1.4897642135620117
162,13,agent_0,1,1.4887561798095703
272,9,agent_2,1,1.4843597412109375
161,13,agent_1,1,1.4827423095703125
169,4,agent_1,1,1.4765052795410156
112,17,agent_0,1,1.4762811660766602
193,11,agent_1,1,1.4724502563476562
147,17,agent_2,1,1.4700627326965332
295,14,agent_0,1,1.4683122634887695
261,10,agent_2,1,1.466069221496582
157,2,agent_0,1,1.464700698852539
26,8,agent_1,1,1.4590940475463867
71,6,agent_1,1,1.4581851959228516
263,16,agent_2,1,1.4525957107543945
275,7,agent_1,1,1.4519119262695312
232,19,agent_0,1,1.4492626190185547
185,6,agent_0,1,1.4474620819091797
44,10,agent_1,1,1.44287109375
232,16,agent_0,1,1.439967155456543
101,15,agent_2,1,1.4386725425720215
289,13,agent_1,1,1.4386677742004395
5,6,agent_0,1,1.4383716583251953
140,6,agent_1,1,1.4381866455078125
13,9,agent_0,1,1.433248519897461
291,3,agent_1,1,1.4307279586791992
275,6,agent_1,1,1.4254961013793945
82,12,agent_1,1,1.4216928482055664
155,0,agent_1,1,1.417470932006836
111,3,agent_1,1,1.4163055419921875
146,4,agent_0,1,1.4162883758544922
265,5,agent_1,1,1.4143733978271484
285,15,agent_1,1,1.411849021911621
218,6,agent_0,1,1.4096994400024414
94,5,agent_1,1,1.4078140258789062
67,21,agent_1,1,1.4071545600891113
27,5,agent_0,1,1.4070243835449219
126,8,agent_2,1,1.406454086303711
297,11,agent_1,1,1.4033927917480469
50,14,agent_0,1,1.402078628540039
6,5,agent_2,1,1.4005794525146484
26,6,agent_1,1,1.3996763229370117
121,1,agent_0,1,1.3992652893066406
188,3,agent_0,1,1.396958351135254
257,10,agent_2,1,1.3917083740234375
72,14,agent_1,1,1.3916358947753906
148,5,agent_2,1,1.3877582550048828
38,2,agent_2,1,1.3841381072998047
275,13,agent_1,1,1.3827600479125977
81,3,agent_1,1,1.3827266693115234
205,5,agent_0,1,1.3817672729492188
14,3,agent_1,1,1.377981185913086
164,10,agent_0,1,1.3749866485595703
62,14,agent_2,1,1.3740358352661133
263,10,agent_1,1,1.373544692993164
8,11,agent_2,1,1.3711390495300293
57,3,agent_1,1,1.3673267364501953
149,4,agent_1,1,1.3636741638183594
179,9,agent_2,1,1.3633575439453125
208,5,agent_1,1,1.3620176315307617
67,20,agent_1,1,1.3606657981872559
44,14,agent_2,1,1.359389305114746
235,6,agent_1,1,1.3592529296875
158,4,agent_2,1,1.3592453002929688
209,1,agent_2,1,1.3581085205078125
0,1,agent_0,1,1.3536911010742188
241,16,agent_0,1,1.353532314300537
227,13,agent_1,1,1.3523035049438477
49,8,agent_1,1,1.3521041870117188
256,17,agent_1,1,1.3515658378601074
128,12,agent_1,1,1.3479790687561035
182,6,agent_0,1,1.3477535247802734
208,11,agent_0,1,1.3468999862670898
277,3,agent_0,1,1.3465375900268555
119,0,agent_2,1,1.3462600708007812
72,13,agent_1,1,1.3460617065429688
40,3,agent_0,1,1.3444347381591797
157,8,agent_1,1,1.3435916900634766
271,5,agent_2,1,1.3434677124023438
226,9,agent_2,1,1.3398199081420898
105,8,agent_2,1,1.3366022109985352
235,7,agent_1,1,1.3319511413574219
295,16,agent_0,1,1.3315281867980957
163,13,agent_0,1,1.3308229446411133
126,10,agent_1,1,1.329604148864746
279,8,agent_2,1,1.3294172286987305
199,1,agent_0,1,1.3262519836425781
191,8,agent_1,1,1.3217010498046875
45,9,agent_2,1,1.3215131759643555
229,15,agent_0,1,1.3208122253417969
7,6,agent_1,1,1.3193683624267578
282,15,agent_1,1,1.31787109375
3,10,agent_2,1,1.3174371719360352
284,7,agent_2,1,1.316035270690918
25,10,agent_1,1,1.3129043579101562
275,1,agent_1,1,1.3110523223876953
270,16,agent_1,1,1.3100948333740234
20,3,agent_2,1,1.3094654083251953
264,5,agent_2,1,1.3084831237792969
44,5,agent_0,1,1.3082027435302734
168,15,agent_1,1,1.3069767951965332
240,4,agent_1,1,1.3068771362304688
298,7,agent_1,1,1.3063850402832031
84,12,agent_0,1,1.3047523498535156
0,5,agent_2,1,1.3033132553100586
111,5,agent_1,1,1.3006572723388672
137,7,agent_1,1,1.29998779296875
290,10,agent_1,1,1.299856185913086
279,9,agent_2,1,1.299407958984375
290,11,agent_2,1,1.2947015762329102
112,1,agent_0,1,1.29364013671875
262,7,agent_0,1,1.292353630065918
39,3,agent_0,1,1.2911796569824219
144,8,agent_1,1,1.2911128997802734
117,14,agent_1,1,1.2879524230957031
206,10,agent_1,1,1.2878074645996094
297,2,agent_1,1,1.2876777648925781
111,4,agent_1,1,1.2857952117919922
252,7,agent_2,1,1.2848739624023438
179,10,agent_2,1,1.2827258110046387
275,8,agent_2,1,1.2825403213500977
91,5,agent_2,1,1.2815208435058594
282,0,agent_2,1,1.28021240234375
229,13,agent_0,1,1.2801284790039062
136,13,agent_2,1,1.279287338256836
32,13,agent_2,1,1.279001235961914
177,19,agent_0,1,1.278761863708496
98,14,agent_0,1,1.2774267196655273
47,9,agent_1,1,1.2773056030273438
86,20,agent_0,1,1.2738633155822754
221,6,agent_1,1,1.2725286483764648
76,11,agent_1,1,1.2700433731079102
141,5,agent_1,1,1.2681121826171875
