game,repeat,method,bound,true_loss,covered,ratio_L
0,0,I2_O,0.2533189915075376,0.24977955816733002,1,1.01417022820513
0,0,I2_B,0.35564412943125284,0.24977955816733002,1,1.423832006272519
0,0,PDIS,0.5258833723884332,0.24977955816733002,1,2.105389953633188
0,0,DR,0.759763865148141,0.24977955816733002,1,3.041737565406241
0,0,robust_sim_lemma,0.9904280757916342,0.24977955816733002,1,3.9652086946528096
0,1,I2_O,0.2533189915075376,0.24977955816733002,1,1.01417022820513
0,1,I2_B,0.36820842746952165,0.24977955816733002,1,1.474133552685904
0,1,PDIS,0.5964494772977477,0.24977955816733002,1,2.387903484472415
0,1,DR,0.833840473425658,0.24977955816733002,1,3.338305502434508
0,1,robust_sim_lemma,0.9904280757916342,0.24977955816733002,1,3.9652086946528096
0,2,I2_O,0.2533189915075376,0.24977955816733002,1,1.01417022820513
0,2,I2_B,0.31081793310287237,0.24977955816733002,1,1.244368976322122
0,2,PDIS,0.48867494144703716,0.24977955816733002,1,1.9564248773299076
0,2,DR,0.7506066991987871,0.24977955816733002,1,3.005076575145303
0,2,robust_sim_lemma,0.9904280757916342,0.24977955816733002,1,3.9652086946528096
0,3,I2_O,0.2533189915075376,0.24977955816733002,1,1.01417022820513
0,3,I2_B,0.27840477760411947,0.24977955816733002,1,1.1146019299850514
0,3,PDIS,0.5375870605615453,0.24977955816733002,1,2.1522460224763864
0,3,DR,0.7744687856045792,0.24977955816733002,1,3.1006091582792945
0,3,robust_sim_lemma,0.9904280757916342,0.24977955816733002,1,3.9652086946528096
0,4,I2_O,0.2533189915075376,0.24977955816733002,1,1.01417022820513
0,4,I2_B,0.3364616236870844,0.24977955816733002,1,1.347034265557012
0,4,PDIS,0.48592107169203336,0.24977955816733002,1,1.945399676648117
0,4,DR,0.7263651553843954,0.24977955816733002,1,2.9080248228231533
0,4,robust_sim_lemma,0.9904280757916342,0.24977955816733002,1,3.9652086946528096
0,5,I2_O,0.2533189915075376,0.24977955816733002,1,1.01417022820513
0,5,I2_B,0.3793162732113196,0.24977955816733002,1,1.5186041483715476
0,5,PDIS,0.45576432352787,0.24977955816733002,1,1.8246662251782373
0,5,DR,0.7103744963456039,0.24977955816733002,1,2.8440057367293297
0,5,robust_sim_lemma,0.9904280757916342,0.24977955816733002,1,3.9652086946528096
0,6,I2_O,0.2533189915075376,0.24977955816733002,1,1.01417022820513
0,6,I2_B,0.40307337132912313,0.24977955816733002,1,1.6137164077258073
0,6,PDIS,0.5074100281747022,0.24977955816733002,1,2.0314313625087874
0,6,DR,0.7524311758316781,0.24977955816733002,1,3.0123809224116584
0,6,robust_sim_lemma,0.9904280757916342,0.24977955816733002,1,3.9652086946528096
0,7,I2_O,0.2533189915075376,0.24977955816733002,1,1.01417022820513
0,7,I2_B,0.3342919712146815,0.24977955816733002,1,1.3383479963990317
0,7,PDIS,0.5883543927077642,0.24977955816733002,1,2.355494568989586
0,7,DR,0.8403125568525439,0.24977955816733002,1,3.364216683775257
0,7,robust_sim_lemma,0.9904280757916342,0.24977955816733002,1,3.9652086946528096
0,8,I2_O,0.2533189915075376,0.24977955816733002,1,1.01417022820513
0,8,I2_B,0.34398600362727866,0.24977955816733002,1,1.3771583477493332
0,8,PDIS,0.5535019247027994,0.24977955816733002,1,2.215961661410268
0,8,DR,0.7976185555798464,0.24977955816733002,1,3.193289961084458
0,8,robust_sim_lemma,0.9904280757916342,0.24977955816733002,1,3.9652086946528096
0,9,I2_O,0.2533189915075376,0.24977955816733002,1,1.01417022820513
0,9,I2_B,0.38437645675026977,0.24977955816733002,1,1.5388627458968112
0,9,PDIS,0.4855729572026738,0.24977955816733002,1,1.944005989783132
0,9,DR,0.7404683140564629,0.24977955816733002,1,2.964487244230031
0,9,robust_sim_lemma,0.9904280757916342,0.24977955816733002,1,3.9652086946528096
0,10,I2_O,0.2533189915075376,0.24977955816733002,1,1.01417022820513
0,10,I2_B,0.363543961276777,0.24977955816733002,1,1.4554592214997633
0,10,PDIS,0.44112015194671705,0.24977955816733002,1,1.7660378422609184
0,10,DR,0.6963670301702257,0.24977955816733002,1,2.7879264231211502
0,10,robust_sim_lemma,0.9904280757916342,0.24977955816733002,1,3.9652086946528096
0,11,I2_O,0.2533189915075376,0.24977955816733002,1,1.01417022820513
0,11,I2_B,0.3519359598761585,0.24977955816733002,1,1.408986237538273
0,11,PDIS,0.528371886148974,0.24977955816733002,1,2.1153527935821392
0,11,DR,0.7703613503111216,0.24977955816733002,1,3.084164917110824
0,11,robust_sim_lemma,0.9904280757916342,0.24977955816733002,1,3.9652086946528096
0,12,I2_O,0.2533189915075376,0.24977955816733002,1,1.01417022820513
0,12,I2_B,0.38368355624601846,0.24977955816733002,1,1.5360886978148336
0,12,PDIS,0.4743836368686204,0.24977955816733002,1,1.899209208108318
0,12,DR,0.7230562099781562,0.24977955816733002,1,2.894777360018281
0,12,robust_sim_lemma,0.9904280757916342,0.24977955816733002,1,3.9652086946528096
0,13,I2_O,0.2533189915075376,0.24977955816733002,1,1.01417022820513
0,13,I2_B,0.3727030260688058,0.24977955816733002,1,1.4921278138346614
0,13,PDIS,0.4942301904190839,0.24977955816733002,1,1.9786654842586988
0,13,DR,0.7397751238670963,0.24977955816733002,1,2.961712036384951
0,13,robust_sim_lemma,0.9904280757916342,0.24977955816733002,1,3.9652086946528096
0,14,I2_O,0.2533189915075376,0.24977955816733002,1,1.01417022820513
0,14,I2_B,0.34973691571643956,0.24977955816733002,1,1.400182297873019
0,14,PDIS,0.4849084415037831,0.24977955816733002,1,1.941345581126129
0,14,DR,0.7223809469385526,0.24977955816733002,1,2.8920739240583564
0,14,robust_sim_lemma,0.9904280757916342,0.24977955816733002,1,3.9652086946528096
0,15,I2_O,0.2533189915075376,0.24977955816733002,1,1.01417022820513
0,15,I2_B,0.31132598892441454,0.24977955816733002,1,1.2464029931378688
0,15,PDIS,0.46203261102381565,0.24977955816733002,1,1.8497615033584736
0,15,DR,0.7152644487983814,0.24977955816733002,1,2.863582808963166
0,15,robust_sim_lemma,0.9904280757916342,0.24977955816733002,1,3.9652086946528096
0,16,I2_O,0.2533189915075376,0.24977955816733002,1,1.01417022820513
0,16,I2_B,0.3410163891114394,0.24977955816733002,1,1.365269406405903
0,16,PDIS,0.5362754012783099,0.24977955816733002,1,2.146994754947293
0,16,DR,0.7804487688365093,0.24977955816733002,1,3.12455020163691
0,16,robust_sim_lemma,0.9904280757916342,0.24977955816733002,1,3.9652086946528096
0,17,I2_O,0.2533189915075376,0.24977955816733002,1,1.01417022820513
0,17,I2_B,0.33069210724786496,0.24977955816733002,1,1.3239358323563482
0,17,PDIS,0.5415017834561818,0.24977955816733002,1,2.167918733739708
0,17,DR,0.7894601503847362,0.24977955816733002,1,3.1606275396478534
0,17,robust_sim_lemma,0.9904280757916342,0.24977955816733002,1,3.9652086946528096
0,18,I2_O,0.2533189915075376,0.24977955816733002,1,1.01417022820513
0,18,I2_B,0.38529170488184594,0.24977955816733002,1,1.5425269694157073
0,18,PDIS,0.5243356333152408,0.24977955816733002,1,2.099193533539613
0,18,DR,0.7737893803907471,0.24977955816733002,1,3.0978891389998267
0,18,robust_sim_lemma,0.9904280757916342,0.24977955816733002,1,3.9652086946528096
0,19,I2_O,0.2533189915075376,0.24977955816733002,1,1.01417022820513
0,19,I2_B,0.4078430479777751,0.24977955816733002,1,1.6328119521476478
0,19,PDIS,0.5367045439976906,0.24977955816733002,1,2.148712840776772
0,19,DR,0.7842943044023344,0.24977955816733002,1,3.1399459193411143
0,19,robust_sim_lemma,0.9904280757916342,0.24977955816733002,1,3.9652086946528096
0,20,I2_O,0.2533189915075376,0.24977955816733002,1,1.01417022820513
0,20,I2_B,0.3611486097257364,0.24977955816733002,1,1.4458693592683796
0,20,PDIS,0.4657735840602307,0.24977955816733002,1,1.8647386018202659
0,20,DR,0.7124765248588502,0.24977955816733002,1,2.852421271325792
0,20,robust_sim_lemma,0.9904280757916342,0.24977955816733002,1,3.9652086946528096
0,21,I2_O,0.2533189915075376,0.24977955816733002,1,1.01417022820513
0,21,I2_B,0.333855296729264,0.24977955816733002,1,1.3365997569169001
