bound_type,game,repeat,Bhat,true_loss,covered,ratio_L
empirical_bernstein,0,0,0.2962306474262746,0.24977955816733002,1,1.185968337840627
hoeffding,0,0,0.3773441320899016,0.24977955816733002,1,1.5107086218685466
clipped_empirical_bernstein,0,0,0.28369298069804033,0.24977955816733002,1,1.1357734106807544
naive_plugin,0,0,0.2418674709562256,0.24977955816733002,0,0.968323720046762
empirical_bernstein,0,1,0.3166884001900416,0.24977955816733002,1,1.2678715684887576
hoeffding,0,1,0.39593016131819014,0.24977955816733002,1,1.5851183508498012
clipped_empirical_bernstein,0,1,0.3048900685061079,0.24977955816733002,1,1.220636591493443
naive_plugin,0,1,0.2604535001845142,0.24977955816733002,1,1.042733449028017
empirical_bernstein,0,2,0.3003296377531685,0.24977955816733002,1,1.2023787693305727
hoeffding,0,2,0.38127051399349965,0.24977955816733002,1,1.526428010326139
clipped_empirical_bernstein,0,2,0.28772130652530004,0.24977955816733002,1,1.1519009347136102
naive_plugin,0,2,0.24579385285982372,0.24977955816733002,0,0.9840431085043547
empirical_bernstein,0,3,0.3202120782993693,0.24977955816733002,1,1.2819787201515338
hoeffding,0,3,0.3987458829649752,0.24977955816733002,1,1.5963911774471593
clipped_empirical_bernstein,0,3,0.3137982479519391,0.24977955816733002,1,1.256300756772587
naive_plugin,0,3,0.26326922183129925,0.24977955816733002,1,1.054006275625375
empirical_bernstein,0,4,0.3343385205325385,0.24977955816733002,1,1.3385343579980291
hoeffding,0,4,0.41177394415804475,0.24977955816733002,1,1.6485494136481453
clipped_empirical_bernstein,0,4,0.32742876404094223,0.24977955816733002,1,1.3108709393328102
naive_plugin,0,4,0.2762972830243688,0.24977955816733002,1,1.1061645118263612
empirical_bernstein,0,5,0.29495458560802745,0.24977955816733002,1,1.180859585837021
hoeffding,0,5,0.3759157120526532,0.24977955816733002,1,1.5049898991366746
clipped_empirical_bernstein,0,5,0.2849047053562751,0.24977955816733002,1,1.1406245869224187
naive_plugin,0,5,0.24043905091897722,0.24977955816733002,0,0.9626049973148904
empirical_bernstein,0,6,0.3042589151478037,0.24977955816733002,1,1.2181097499739244
hoeffding,0,6,0.38455996158804573,0.24977955816733002,1,1.5395974130534127
clipped_empirical_bernstein,0,6,0.29138431658429204,0.24977955816733002,1,1.1665659060422011
naive_plugin,0,6,0.24908330045436977,0.24977955816733002,0,0.9972125112316284
empirical_bernstein,0,7,0.30994678227461253,0.24977955816733002,1,1.240881297688003
hoeffding,0,7,0.38973780757440984,0.24977955816733002,1,1.5603270757382006
clipped_empirical_bernstein,0,7,0.2991575287057587,0.24977955816733002,1,1.1976861953825293
naive_plugin,0,7,0.2542611464407339,0.24977955816733002,1,1.0179421739164163
empirical_bernstein,0,8,0.3152014492267128,0.24977955816733002,1,1.2619185154277355
hoeffding,0,8,0.3935884632981746,0.24977955816733002,1,1.5757432921492536
clipped_empirical_bernstein,0,8,0.3081984065704916,0.24977955816733002,1,1.233881622786866
naive_plugin,0,8,0.25811180216449864,0.24977955816733002,1,1.0333583903274692
empirical_bernstein,0,9,0.3059212380842012,0.24977955816733002,1,1.2247649100222255
hoeffding,0,9,0.3852642782507071,0.24977955816733002,1,1.542417166070149
clipped_empirical_bernstein,0,9,0.2995481370517282,0.24977955816733002,1,1.1992500076850072
naive_plugin,0,9,0.2497876171170311,0.24977955816733002,1,1.0000322642483646
empirical_bernstein,0,10,0.3156203006956385,0.24977955816733002,1,1.2635953999254057
hoeffding,0,10,0.39559150762285383,0.24977955816733002,1,1.583762540559235
clipped_empirical_bernstein,0,10,0.3045462588175763,0.24977955816733002,1,1.2192601390285007
naive_plugin,0,10,0.2601148464891779,0.24977955816733002,1,1.0413776387374507
empirical_bernstein,0,11,0.31979175951063854,0.24977955816733002,1,1.280295961194737
hoeffding,0,11,0.3983497135325355,0.24977955816733002,1,1.594805101167153
clipped_empirical_bernstein,0,11,0.31351661040959083,0.24977955816733002,1,1.255173212371377
naive_plugin,0,11,0.26287305239885955,0.24977955816733002,1,1.0524201993453686
empirical_bernstein,0,12,0.3020907659464428,0.24977955816733002,1,1.2094294992069323
hoeffding,0,12,0.3819554966499969,0.24977955816733002,1,1.5291703590656558
clipped_empirical_bernstein,0,12,0.2879335632486176,0.24977955816733002,1,1.1527507109117703
naive_plugin,0,12,0.24647883551632094,0.24977955816733002,0,0.9867854572438715
empirical_bernstein,0,13,0.3223132289634717,0.24977955816733002,1,1.2903907402524533
hoeffding,0,13,0.4010457043453681,0.24977955816733002,1,1.605598581757052
clipped_empirical_bernstein,0,13,0.3115352218961863,0.24977955816733002,1,1.2472406636554523
naive_plugin,0,13,0.26556904321169217,0.24977955816733002,1,1.0632136799352676
empirical_bernstein,0,14,0.3116864280501142,0.24977955816733002,1,1.2478460220564251
hoeffding,0,14,0.39103625680634285,0.24977955816733002,1,1.5655254564281975
clipped_empirical_bernstein,0,14,0.30547086827235687,0.24977955816733002,1,1.2229618408873901
naive_plugin,0,14,0.2555595956726669,0.24977955816733002,1,1.0231405546064132
empirical_bernstein,0,15,0.28862308300506556,0.24977955816733002,1,1.1555112240678793
hoeffding,0,15,0.36917989714091626,0.24977955816733002,1,1.4780228608363486
clipped_empirical_bernstein,0,15,0.2767225777661274,0.24977955816733002,1,1.1078671921612895
naive_plugin,0,15,0.23370323600724033,0.24977955816733002,0,0.9356379590145644
