game,repeat,bound_type,Bhat,Bhat_capped,true_loss,Rmax,covered,ratio_L,ratio_Rmax
0,0,jensen_eb,0.43361291504718025,0.43361291504718025,0.3108689351488424,3.9926079853413303,1,1.3948415747606582,0.10860392922099274
0,0,jensen_hoeffding,0.8828013247374324,0.8828013247374324,0.3108689351488424,3.9926079853413303,1,2.8397862408308887,0.22110894131820488
0,0,raw_plugin_mean,0.3299629810931564,0.3299629810931564,0.3108689351488424,3.9926079853413303,1,1.0614215310229433,0.08264347071002207
0,0,exact_value_eb,0.43302143657623376,0.43302143657623376,0.3108689351488424,3.9926079853413303,1,1.3929389128859253,0.10845578583373357
0,1,jensen_eb,0.4395061468901252,0.4395061468901252,0.3108689351488424,3.9926079853413303,1,1.4137988624681717,0.11007996490107494
0,1,jensen_hoeffding,0.8887718403814366,0.8887718403814366,0.3108689351488424,3.9926079853413303,1,2.858992134276451,0.22260433371984428
0,1,raw_plugin_mean,0.33593349673716066,0.33593349673716066,0.3108689351488424,3.9926079853413303,1,1.0806274244685063,0.08413886311166147
0,1,exact_value_eb,0.4393179304024641,0.4393179304024641,0.3108689351488424,3.9926079853413303,1,1.4131934096024132,0.11003282366197706
0,2,jensen_eb,0.41977768512712405,0.41977768512712405,0.3108689351488424,3.9926079853413303,1,1.3503365491509685,0.10513871801797667
0,2,jensen_hoeffding,0.8703636873312115,0.8703636873312115,0.3108689351488424,3.9926079853413303,1,2.7997769764755875,0.21799377512811433
0,2,raw_plugin_mean,0.3175253436869355,0.3175253436869355,0.3108689351488424,3.9926079853413303,1,1.0214122666676426,0.0795283045199315
0,2,exact_value_eb,0.41922462501144453,0.41922462501144453,0.3108689351488424,3.9926079853413303,1,1.3485574710471537,0.10500019700171109
0,3,jensen_eb,0.431050573593497,0.431050573593497,0.3108689351488424,3.9926079853413303,1,1.3865990610709054,0.10796215786174816
0,3,jensen_hoeffding,0.8809744158233619,0.8809744158233619,0.3108689351488424,3.9926079853413303,1,2.833909458986489,0.2206513684934302
0,3,raw_plugin_mean,0.3281360721790859,0.3281360721790859,0.3108689351488424,3.9926079853413303,1,1.0555447491785441,0.0821858978852474
0,3,exact_value_eb,0.4303924976276077,0.4303924976276077,0.3108689351488424,3.9926079853413303,1,1.38448216905796,0.10779733427568476
0,4,jensen_eb,0.41083247988873717,0.41083247988873717,0.3108689351488424,3.9926079853413303,1,1.3215617047487642,0.10289827636399292
