eta,game,true_loss,cert_failure_only,cert_success_inclusive,viol_failure_only,viol_success_inclusive
0.0,0,0.5104500678955683,0.5265403388074653,0.5265403388074653,0,0
0.0,1,0.36953944331285316,0.37628579596619643,0.37628579596619643,0,0
0.0,2,0.5984097988142718,0.6051208052100567,0.6051208052100567,0,0
0.0,3,0.3224463090076529,0.3309528572064835,0.3309528572064835,0,0
0.0,4,0.3817088969072544,0.3893837150163716,0.38938371501637165,0,0
0.0,5,0.4116237971455409,0.4217328395737176,0.4217328395737176,0,0
0.0,6,0.48215914025846535,0.5020996082454907,0.5020996082454907,0,0
0.0,7,0.39199567581147393,0.40429464154905587,0.40429464154905587,0,0
0.0,8,0.5010414044931756,0.5125042749351018,0.5125042749351018,0,0
0.0,9,0.39328529735467027,0.4023445450500883,0.4023445450500883,0,0
0.0,10,0.4196777058563557,0.42777862315600107,0.427778623156001,0,0
0.0,11,0.47423152348943365,0.4882220833348742,0.4882220833348742,0,0
0.0,12,0.484849386159407,0.49648487545445297,0.49648487545445297,0,0
0.0,13,0.43071455063842384,0.44022409269246887,0.44022409269246887,0,0
0.0,14,0.4375162487616327,0.4457508709288391,0.4457508709288391,0,0
0.0,15,0.4631922783053354,0.4686869571042692,0.4686869571042691,0,0
0.0,16,0.41353442068544,0.41985870346198884,0.4198587034619889,0,0
0.0,17,0.4841660389376783,0.5000201856953722,0.5000201856953722,0,0
0.0,18,0.537431821224504,0.5439571422169847,0.5439571422169848,0,0
0.0,19,0.4314537390091943,0.43922755808696745,0.43922755808696745,0,0
0.0,20,0.3405536193913834,0.35050230965325335,0.35050230965325335,0,0
0.0,21,0.5530713413706352,0.56127563316192,0.56127563316192,0,0
0.0,22,0.37267034379518227,0.3811786338404038,0.3811786338404038,0,0
0.0,23,0.4441467229301975,0.44994314221713205,0.44994314221713205,0,0
0.0,24,0.4970079214042264,0.5102575935210076,0.5102575935210076,0,0
0.0,25,0.36620633849767736,0.3755625625817899,0.3755625625817898,0,0
0.0,26,0.38677907640753445,0.39124833554226623,0.39124833554226623,0,0
0.0,27,0.3087726335065807,0.31764170012154097,0.31764170012154086,0,0
0.0,28,0.37438191164005424,0.38392758631430657,0.38392758631430657,0,0
0.0,29,0.48217583843711853,0.49145075359164436,0.49145075359164436,0,0
0.0,30,0.3641604715104654,0.3697916279884649,0.3697916279884649,0,0
0.0,31,0.37744462827458486,0.3847501598090275,0.3847501598090275,0,0
0.0,32,0.39223076888612585,0.4044657956302845,0.4044657956302845,0,0
0.0,33,0.5878519502636164,0.5964991203310692,0.5964991203310692,0,0
0.0,34,0.434199263850806,0.446748023171078,0.446748023171078,0,0
0.0,35,0.3832073309367394,0.39092542568031874,0.39092542568031874,0,0
0.0,36,0.48324408089167564,0.4921397592979153,0.4921397592979152,0,0
0.0,37,0.5421286830453527,0.5507084247004647,0.5507084247004647,0,0
0.0,38,0.43497162562740466,0.4415845973997426,0.4415845973997426,0,0
0.0,39,0.4410400370571388,0.4490697382554669,0.4490697382554669,0,0
0.0,40,0.392900139046675,0.403053109281577,0.403053109281577,0,0
0.0,41,0.4045872541322499,0.4172993254534234,0.4172993254534234,0,0
0.0,42,0.4031272752052025,0.4154681565592244,0.4154681565592244,0,0
0.0,43,0.2783879251832215,0.2819730668669487,0.2819730668669487,0,0
0.0,44,0.40240929733481046,0.4096568093817102,0.4096568093817102,0,0
0.0,45,0.43374050469205755,0.43998195540618606,0.43998195540618606,0,0
0.0,46,0.4615054187309814,0.46957257662210533,0.4695725766221053,0,0
0.0,47,0.3910540844909715,0.39586784143637216,0.39586784143637216,0,0
0.0,48,0.37312989571447497,0.3811744042399379,0.381174404239938,0,0
0.0,49,0.3224229074349767,0.3310925742033767,0.3310925742033767,0,0
0.0,50,0.4677003721773104,0.47680851521032813,0.47680851521032813,0,0
0.0,51,0.4421938774347081,0.4530091741098987,0.4530091741098987,0,0
0.0,52,0.32189545895934046,0.33059339456400966,0.33059339456400966,0,0
0.0,53,0.5298202845401448,0.5443707289916392,0.5443707289916392,0,0
0.0,54,0.3374233355039954,0.3493016198305013,0.34930161983050123,0,0
0.0,55,0.38012909389024463,0.3882657066459334,0.3882657066459334,0,0
0.0,56,0.3780589894456005,0.38617663661275875,0.3861766366127587,0,0
0.0,57,0.4463547051974887,0.45221969457182276,0.45221969457182276,0,0
0.0,58,0.4436287180207464,0.4536265370065094,0.4536265370065094,0,0
0.0,59,0.5209759187965463,0.524791026985908,0.524791026985908,0,0
0.0,60,0.3782486019040165,0.38217254661563327,0.38217254661563327,0,0
0.0,61,0.5855821892058922,0.6006324094163982,0.6006324094163981,0,0
0.0,62,0.22436832867887266,0.22791853229240921,0.2279185322924092,0,0
