m_F,Bhat,Bhat_capped,true_loss,Rmax,C2_exact,covered,Xbar,ratio_L,ratio_Rmax,ratio_XC2,jensen_pop_bound,game,K,repeat
274,0.5308822954104108,0.5308822954104108,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.31873492802361386,1.7077367191939816,0.13296629605498955,0.9990435217019348,4.517120289687063,0,25,0
308,0.579335824925926,0.579335824925926,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.3604453514181574,1.8636015356392654,0.14510210545411165,1.1297807726776934,4.517120289687063,0,25,1
271,0.5126490544606443,0.5126490544606443,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.30264635226962217,1.6490842168426727,0.12839954644753776,0.9486154513297871,4.517120289687063,0,25,2
276,0.5486732376695742,0.5486732376695742,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.335283023356718,1.7649664396568683,0.1374222662690657,1.0509119113433076,4.517120289687063,0,25,3
250,0.530042925089912,0.530042925089912,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.31738062607026957,1.705036641361834,0.13275606496704392,0.9947985944160973,4.517120289687063,0,25,4
301,0.5710400446793313,0.5710400446793313,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.35488343288518276,1.8369157548853197,0.14302432063850937,1.1123474819082846,4.517120289687063,0,25,5
267,0.48646314595138906,0.48646314595138906,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.27895687043996464,1.5648496551077806,0.12184094900812083,0.8743630827514628,4.517120289687063,0,25,6
282,0.5329737880686267,0.5329737880686267,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.32125638450572763,1.714464611311007,0.13349013728004716,1.006946780937843,4.517120289687063,0,25,7
279,0.5563044145820907,0.5563044145820907,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.34288162600193733,1.7895143312268724,0.13933359263532402,1.0747289896715764,4.517120289687063,0,25,8
241,0.49286270585157466,0.49286270585157466,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.28386535315935557,1.5854356937131548,0.12344380105963235,0.8897482427419302,4.517120289687063,0,25,9
267,0.4873542700674701,0.4873542700674701,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.27909146334112084,1.5677162140183851,0.12206414249953115,0.8747849510631691,4.517120289687063,0,25,10
283,0.5323824180718165,0.5323824180718165,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.32011491763851563,1.7125622983747626,0.13334202106153,1.0033689644556747,4.517120289687063,0,25,11
300,0.5649880028755814,0.5649880028755814,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.34834921991996287,1.8174476089258262,0.14150850896203881,1.0918666291420007,4.517120289687063,0,25,12
306,0.5707521424802873,0.5707521424802873,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.3530328444710358,1.8359896340463038,0.14295221183140858,1.1065469931512029,4.517120289687063,0,25,13
283,0.5349583875403234,0.5349583875403234,0.3108689351488424,3.9926079853413303,0.3190400829391581,1,0.3230837405901409,1.7208486505227298,0.13398720573229267,1.0126744502249705,4.517120289687063,0,25,14
