game,eta,V_naive,V_wrapper,rel_gap
0,0.0,3.3310828449459575,3.3310828449459575,0.0
0,0.1,3.3310828449459575,3.2832766822721493,0.014351538188847497
0,0.2,3.3310828449459575,3.1089974722970126,0.06667062421435434
0,0.3,3.3310828449459575,2.8548731887181646,0.14295941537670143
1,0.0,3.3004973827230923,3.3004973827230923,0.0
1,0.1,3.3004973827230923,3.2914931536705967,0.0027281430662243157
1,0.2,3.3004973827230923,3.0959601481636425,0.0619716396589667
1,0.3,3.3004973827230923,2.5142151631205945,0.23823143247444126
2,0.0,3.3334357694804155,3.3334357694804155,0.0
2,0.1,3.3334357694804155,3.267657808043601,0.019732782020076067
2,0.2,3.3334357694804155,3.0714228897467675,0.078601448407655
2,0.3,3.3334357694804155,2.8346486574536165,0.14963153525976405
3,0.0,3.1759773910863967,3.1759773910863967,0.0
3,0.1,3.1759773910863967,3.1082514908556123,0.02132442768627304
3,0.2,3.1759773910863967,2.888588248898832,0.09048840930154411
3,0.3,3.1759773910863967,2.7612811270895388,0.13057280099983054
4,0.0,3.257439191706769,3.257439191706769,0.0
4,0.1,3.257439191706769,3.1894596859823947,0.020869002213940516
4,0.2,3.257439191706769,3.024577006734871,0.07148627225130207
4,0.3,3.257439191706769,2.777355675486232,0.14738065327371824
5,0.0,3.2911693361339673,3.2911693361339673,0.0
5,0.1,3.2911693361339673,3.213777340785346,0.023515045086077574
5,0.2,3.2911693361339673,3.0936081086154603,0.06002767019291334
5,0.3,3.2911693361339673,2.825809007622184,0.14139665293461653
6,0.0,3.4378666554114354,3.4378666554114354,0.0
6,0.1,3.4378666554114354,3.397461139069194,0.011753078400201343
6,0.2,3.4378666554114354,3.205239615909594,0.06766610306656438
6,0.3,3.4378666554114354,3.010364534501217,0.12435098962112157
7,0.0,3.370584278479288,3.370584278479288,0.0
7,0.1,3.370584278479288,3.334596483033421,0.010677019905708037
7,0.2,3.370584278479288,3.17792887764507,0.0571578648862567
7,0.3,3.370584278479288,2.9503707865714364,0.12467081581854683
8,0.0,3.1419621761231484,3.1419621761231484,0.0
8,0.1,3.1419621761231484,3.138718232093172,0.0010324580141656977
8,0.2,3.1419621761231484,2.7993817775989656,0.10903390276895605
8,0.3,3.1419621761231484,2.5331798108142913,0.19375865493908395
9,0.0,3.076939217440146,3.076939217440146,0.0
9,0.1,3.076939217440146,2.9876018431503883,0.029034494329415912
9,0.2,3.076939217440146,2.7564659705405874,0.10415325885508478
9,0.3,3.076939217440146,2.449450469023697,0.2039327734054346
10,0.0,3.235978384725554,3.235978384725554,0.0
10,0.1,3.235978384725554,3.136075242077308,0.030872623590112825
10,0.2,3.235978384725554,2.8389214136289977,0.1227007488208331
10,0.3,3.235978384725554,2.421024065235686,0.25184170669518957
11,0.0,3.2628995933668463,3.2628995933668463,0.0
11,0.1,3.2628995933668463,3.1769210892191024,0.02635033707325208
11,0.2,3.2628995933668463,2.950471909776328,0.0957515469154802
11,0.3,3.2628995933668463,2.865283539099038,0.12185972714399879
12,0.0,3.164689721195359,3.164689721195359,0.0
12,0.1,3.164689721195359,3.143629586907921,0.006654723254458073
12,0.2,3.164689721195359,3.030127722125249,0.04251980790608555
12,0.3,3.164689721195359,2.8239803718105425,0.10765963784546467
13,0.0,3.458463351486911,3.458463351486911,0.0
13,0.1,3.458463351486911,3.4063259233657486,0.015075316060143198
