game,true_loss,C0,Cstar,Ctilde,delta_r,r_C0,r_Cstar,r_Ctilde,slack_Ctilde,true_over_range,usable
0,0.40299137021700776,2.8949201864553267,0.8159044783772583,0.415120089006628,0.9944714356190629,7.183578608386662,2.024620224343514,1.0300967208878171,0.030096720887817074,0.10130792996737605,True
1,0.27924074411021116,2.4781305517709638,0.5836716513850665,0.28467179862145064,0.990316595010647,8.874530683791946,2.0902094830212246,1.0194493626943493,0.019449362694349322,0.07049279632318214,True
2,0.29350971951226995,2.58780130212194,0.5784757464474168,0.29746130560778783,0.9786965725769815,8.816748237237707,1.9708912788601336,1.0134632205777863,0.013463220577786301,0.0749746468252762,True
3,0.36630452862174095,3.0999114017412794,0.7266911193893578,0.37089413901380536,0.9719701912575766,8.462661964363422,1.9838442132386653,1.0125294939959746,0.012529493995974582,0.09421701712575169,True
4,0.31917202976019043,3.159529533684643,0.7150689832503428,0.3235513157251789,0.9759391795946772,9.899142904403472,2.240387366611069,1.0137207698565531,0.013720769856553097,0.08176022554313978,True
5,0.3458242818854219,2.9939734188764104,0.739755583487583,0.35266467046151917,0.9982563259542057,8.657499128035116,2.139108276187147,1.0197799545445556,0.01977995454455568,0.08660708499764778,True
6,0.25458110306516674,1.7223541573069576,0.5333426334602257,0.26308481337538053,0.9906590015998047,6.765443847048128,2.0949812340301732,1.0334027553806184,0.03340275538061852,0.06424539186895956,True
7,0.45395435034090365,3.683520851408606,0.900399541763832,0.4660298624441623,0.9917660413823167,8.114297943487957,1.9834583391208032,1.0266007189802022,0.0266007189802022,0.11443080610730157,True
8,0.3420255541654415,3.036137107852881,0.6747099162673407,0.3505893212445306,0.9766585767457596,8.876930600291544,1.9726886136144555,1.025038383754644,0.025038383754644063,0.08754992847784011,True
9,0.41185314561660014,3.1040657826441214,0.8626634597411698,0.4213847450357994,0.9885528106006874,7.536826695828468,2.0945899501377983,1.0231431992705293,0.023143199270529276,0.10415557499814813,True
10,0.297564501351811,3.1105100319349988,0.6258687596815463,0.30316617158280795,0.9740868397950676,10.453229527729981,2.103304516628415,1.0188250621480353,0.018825062148035202,0.07637011639907122,True
11,0.29023768245606035,2.2741289305002566,0.5997262540868907,0.2935581603379383,0.9819252725349039,7.835402044476225,2.0663280143772664,1.0114405471191035,0.011440547119103466,0.07389505356828044,True
12,0.43991599924548486,3.2045018900065347,0.8692283118279455,0.4443701489970621,0.9594023967665113,7.28434950195648,1.975896110436513,1.0101250005892415,0.010125000589241422,0.11463281745181703,True
13,0.45728941176934496,4.008139500454489,0.9706755955294282,0.4659971388621823,0.9910958939958469,8.764995202810818,2.1226723614126306,1.0190420483587088,0.019042048358708756,0.1153494365529228,True
14,0.44715683089296804,3.339104823654704,0.9489289216718597,0.4548704656978634,0.9930989916717521,7.4674132048626936,2.122138936750351,1.017250401362518,0.01725040136251812,0.11256602681174765,True
15,0.352991706382452,2.7630075240913516,0.676862134829926,0.36311726936983607,0.9811602366184705,7.827400684303179,1.9175015236663202,1.0286849883561102,0.028684988356110174,0.08994242051609831,True
16,0.36831841204565663,3.8600291350255675,0.7784893262289551,0.3710763869243055,0.9904082461904093,10.480141662174303,2.1136313058725227,1.0074880179443948,0.007488017944394794,0.09297136142151177,True
17,0.408287822439452,3.8781432773205498,0.7880990484117927,0.4132620945534151,0.9949602556568522,9.498552403912727,1.9302536228071452,1.0121832487783806,0.012183248778380574,0.10258897783055385,True
18,0.5249975868895723,4.0963003648880205,0.9595341517928497,0.5318833501990113,0.9932114977037342,7.802512748976947,1.8276924994603405,1.0131157999225002,0.013115799922500152,0.13214647336024252,True
19,0.4754688359133634,3.4542039839946796,0.9424272811998493,0.4865419009061417,0.9798304664575637,7.2648378255101465,1.9821010548240678,1.0232887292634167,0.023288729263416807,0.12131405691852813,True
20,0.24899974039414477,2.0724330217665616,0.5160797317045105,0.25085519182164623,0.9914096895278861,8.323032861343878,2.0726115251670603,1.007451619927653,0.007451619927653105,0.06278931480706014,True
21,0.41822454113867613,4.017260971815296,0.8899977090727881,0.4247855332832721,0.998144275821976,9.605512294610278,2.128037983255698,1.0156877263269457,0.01568772632694569,0.10475052336353542,True
22,0.3668113224958517,3.156693599884767,0.7104738385225066,0.3726835820491602,0.974243910616845,8.60576925054015,1.9368917886403068,1.0160089375468362,0.01600893754683625,0.09412717865067388,True
23,0.3707640493881632,3.8905972576940298,0.807310378224056,0.3795241868265971,0.9824676633483771,10.493458748533774,2.1774235650848133,1.0236272568845062,0.02362725688450627,0.09434510244453015,True
24,0.3336247039853983,3.0710316867588747,0.693205391330295,0.33857088128346546,0.9594626657535296,9.205048817048285,2.077799944217064,1.014825572683861,0.014825572683861135,0.08693009011543475,True
25,0.2584842500136699,2.2059087006845006,0.5323930584658393,0.2602271759776731,0.9905501437382033,8.53401590451968,2.059673107501458,1.0067428710411215,0.00674287104112141,0.06523754795445919,True
26,0.4165628603820957,3.3384810547296304,0.8127213725889257,0.4244034133855819,0.9947225048356911,8.01435118739914,1.9510173610855523,1.0188220164329926,0.01882201643299254,0.104693233127088,True
27,0.29969547237292327,2.7721740075018375,0.664562779648212,0.3059220143884841,0.9923523209108778,9.24996959597811,2.217460191795188,1.0207762298384437,0.02077622983844378,0.07550127763540511,True
28,0.3938948394705136,3.399972346708722,0.8580145327446347,0.4028692988261365,0.982918815531939,8.631675274748654,2.1782832542259403,1.0227838967570293,0.02278389675702941,0.10018498813082147,True
29,0.36029449451594286,2.4969268663035615,0.6799178642117992,0.36392707422178244,0.9731898563353829,6.930238747217587,1.8871169961263818,1.010082251494628,0.010082251494627926,0.09255503748072806,True
