m_F,Bhat,Bhat_capped,true_loss,Rmax,C2_exact,covered,Xbar,ratio_L,ratio_Rmax,ratio_XC2,jensen_pop_bound,game,m,repeat
50,0.9072837755174453,0.9072837755174453,0.24977955816733002,3.9926079853413303,0.2533189915075376,1,0.22698425724388516,3.632337979033681,0.2272408858692099,0.8960412162272924,1.1292800724217658,0,500,0
59,1.0096497729832694,1.0096497729832694,0.24977955816733002,3.9926079853413303,0.2533189915075376,1,0.3103674192830756,4.042163339511131,0.2528797659800688,1.2252039116216065,1.1292800724217658,0,500,1
64,0.9847783795717403,0.9847783795717403,0.24977955816733002,3.9926079853413303,0.2533189915075376,1,0.28897387435307575,3.942589965316644,0.2466504057466466,1.1407509268584672,1.1292800724217658,0,500,2
45,0.9444772646735826,0.9444772646735826,0.24977955816733002,3.9926079853413303,0.2533189915075376,1,0.2599441723274464,3.7812432354487036,0.2365564733981362,1.0261535101670876,1.1292800724217658,0,500,3
61,0.9594730661951429,0.9594730661951429,0.24977955816733002,3.9926079853413303,0.2533189915075376,1,0.2656680163800934,3.841279379445381,0.2403123646793781,1.0487489106089716,1.1292800724217658,0,500,4
55,0.9725007615619522,0.9725007615619522,0.24977955816733002,3.9926079853413303,0.2533189915075376,1,0.2755664062988308,3.8934361510498925,0.24357531847164618,1.0878237145146348,1.1292800724217658,0,500,5
52,0.8895508982060499,0.8895508982060499,0.24977955816733002,3.9926079853413303,0.2533189915075376,1,0.2162548457030492,3.5613438695016435,0.2227994587678013,0.853685878094199,1.1292800724217658,0,500,6
62,0.917437509347935,0.917437509347935,0.24977955816733002,3.9926079853413303,0.2533189915075376,1,0.24450602156945456,3.6729887588852796,0.22978401904626325,0.9652099912223879,1.1292800724217658,0,500,7
56,0.9384450513984153,0.9384450513984153,0.24977955816733002,3.9926079853413303,0.2533189915075376,1,0.2517401254535805,3.7570930875365742,0.23504562803157023,0.9937672811479271,1.1292800724217658,0,500,8
48,1.004588741257357,1.004588741257357,0.24977955816733002,3.9926079853413303,0.2533189915075376,1,0.2999562410208932,4.021901346243764,0.25161216551829196,1.1841048286029034,1.1292800724217658,0,500,9
47,0.9190795202372167,0.9190795202372167,0.24977955816733002,3.9926079853413303,0.2533189915075376,1,0.2369904849125706,3.679562599039892,0.23019528178362947,0.9355417195615942,1.1292800724217658,0,500,10
49,0.9390410458635725,0.9390410458635725,0.24977955816733002,3.9926079853413303,0.2533189915075376,1,0.2506524819198984,3.759479169366209,0.23519490250763833,0.9894737083399455,1.1292800724217658,0,500,11
51,0.8692722878168218,0.8692722878168218,0.24977955816733002,3.9926079853413303,0.2533189915075376,1,0.20783482213813104,3.480157840756876,0.21772042008840173,0.8204470612379918,1.1292800724217658,0,500,12
59,0.8766222491991056,0.8766222491991056,0.24977955816733002,3.9926079853413303,0.2533189915075376,1,0.2137126849761072,3.50958363298828,0.21956131240972876,0.8436504649899023,1.1292800724217658,0,500,13
54,0.9017543514028191,0.9017543514028191,0.24977955816733002,3.9926079853413303,0.2533189915075376,1,0.22833296629784391,3.6102007627010217,0.2258559705118978,0.901365369169527,1.1292800724217658,0,500,14
52,0.8596344408732725,0.8596344408732725,0.24977955816733002,3.9926079853413303,0.2533189915075376,1,0.19740855349850434,3.4415724296277044,0.21530649741456695,0.7792884075674616,1.1292800724217658,0,500,15
59,0.981137856773354,0.981137856773354,0.24977955816733002,3.9926079853413303,0.2533189915075376,1,0.2899006791881087,3.928015022414601,0.2457385900082239,1.1444095741218145,1.1292800724217658,0,500,16
48,0.9004648138240596,0.9004648138240596,0.24977955816733002,3.9926079853413303,0.2533189915075376,1,0.22703560081624852,3.6050380600834777,0.2255329892466461,0.8962438996978755,1.1292800724217658,0,500,17
49,0.9377243339217616,0.9377243339217616,0.24977955816733002,3.9926079853413303,0.2533189915075376,1,0.2581256522914171,3.7542076733660084,0.2348651150737993,1.0189747351956295,1.1292800724217658,0,500,18
60,0.9359847610321748,0.9359847610321748,0.24977955816733002,3.9926079853413303,0.2533189915075376,1,0.2477059222962892,3.747243240798546,0.23442941667917264,0.977841893425186,1.1292800724217658,0,500,19
78,0.9772116852309094,0.9772116852309094,0.37859862157451374,3.973529060433214,0.38241086059457885,1,0.2977308579399559,2.5811284815747273,0.24593042365326728,0.7785627674826989,1.1238837375496546,1,500,0
92,1.0848397691771705,1.0848397691771705,0.37859862157451374,3.973529060433214,0.38241086059457885,1,0.3830131460992982,2.865408660669564,0.2730166943988314,1.0015749696642582,1.1238837375496546,1,500,1
92,1.052244811708968,1.052244811708968,0.37859862157451374,3.973529060433214,0.38241086059457885,1,0.3574795306407479,2.779314957177864,0.2648136695882745,0.9348048590590045,1.1238837375496546,1,500,2
