game,true_loss,adavote,naive_marginal,unweighted,worst_prefix,plugin_alpha,no_logging,viol_adavote,viol_naive_marginal,viol_unweighted,viol_worst_prefix,viol_plugin_alpha,viol_no_logging
25,0.3251483685862054,0.3281361134071808,0.33018840777873976,0.2235689455079943,0.42938517251096625,0.3716576943272265,0.6688487878842804,0,0,1,0,0,0
26,0.4613576969348061,0.4687659500754085,0.48724254676701095,0.2889146081902686,0.5558366055779153,0.5591449932711273,0.952620815173095,0,0,1,0,0,0
27,0.43924962788865146,0.44783069180285506,0.4644964046555396,0.2909261125869642,0.5151004791933376,0.32699614745511574,0.9393868562544803,0,0,1,0,1,0
28,0.4052150870700936,0.41413535467113394,0.4361625220295277,0.25754299034171046,0.4876083334042586,0.4021303401666791,0.8573824193808847,0,0,1,0,1,0
29,0.5159328118808965,0.5304968824871211,0.5662664680622485,0.25324133210774274,0.5848437406072056,0.5677217207699488,0.9493350781640297,0,0,1,0,0,0
30,0.38251950901327414,0.3869777196428325,0.40940866456341074,0.2878201289444889,0.4713423603691292,0.449472320025568,0.761401292113838,0,0,1,0,0,0
31,0.3369249902424195,0.34476952293892776,0.35182396452671555,0.25275536269771826,0.44593071541870866,0.3196635410005172,0.7768289421328731,0,0,1,0,1,0
32,0.3497624978814953,0.35504218269710486,0.3601117176410088,0.27601058192101047,0.4730668615592379,0.4292822087949669,0.7374366584830614,0,0,1,0,0,0
33,0.4736114725673711,0.4840137283731213,0.49328411300206115,0.337855483259623,0.5991338891925937,0.5405293376982309,0.9738084090176218,0,0,1,0,0,0
34,0.3939554880091898,0.40148035780563096,0.41097579224371744,0.2802344872415798,0.5225744480743097,0.5408988184071064,0.8439021429980489,0,0,1,0,0,0
35,0.3436365073069675,0.34965114469456754,0.3587866225434322,0.26045859819256684,0.49467122311899653,0.435892852095489,0.7621017827190623,0,0,1,0,0,0
36,0.4996571146518035,0.50670486086919,0.5326307622286164,0.2749117935141332,0.560913891324118,0.7223529557798374,0.9619527228449404,0,0,1,0,0,0
37,0.35427692665945015,0.35872365348503454,0.3616040564323703,0.25811937884708047,0.44924376637835733,0.5267789440304641,0.7033907063711232,0,0,1,0,0,0
38,0.35903417239221164,0.3634436626004261,0.3645311975697168,0.26052685153966537,0.4763800507844909,0.40520073385765015,0.6889015926681129,0,0,1,0,0,0
39,0.4911447208540815,0.5059559037515271,0.5395653631263836,0.2819757941369503,0.5830922153946941,0.6571930094601587,0.9637960539321719,0,0,1,0,0,0
