alpha,N,g,expected_direction,actual_direction,iff_ok
0.3,5,0.83692,increasing,increasing,1
0.3,7,0.873964,increasing,increasing,1
0.3,9,0.90119134,increasing,increasing,1
0.3,11,0.92177520904,increasing,increasing,1
0.3,13,0.9376247882008,increasing,increasing,1
0.3,15,0.949987459946224,increasing,increasing,1
0.3,17,0.9597230639457455,increasing,increasing,1
0.3,19,0.9674466431186991,increasing,increasing,1
0.3,21,0.973610059298716,increasing,increasing,1
0.32499999999999996,1,0.675,increasing,increasing,1
0.32499999999999996,3,0.7517812500000001,increasing,increasing,1
0.32499999999999996,5,0.8023129101562501,increasing,increasing,1
0.32499999999999996,7,0.839264186645508,increasing,increasing,1
0.32499999999999996,9,0.8676358386249161,increasing,increasing,1
0.32499999999999996,11,0.8900423507756539,increasing,increasing,1
0.32499999999999996,13,0.9080655889869034,increasing,increasing,1
0.32499999999999996,15,0.922751309693677,increasing,increasing,1
0.32499999999999996,17,0.9348326096188586,increasing,increasing,1
0.32499999999999996,19,0.944844986931853,increasing,increasing,1
0.32499999999999996,21,0.9531915549693979,increasing,increasing,1
0.35,1,0.65,increasing,increasing,1
0.35,3,0.71825,increasing,increasing,1
0.35,5,0.7648306250000001,increasing,increasing,1
0.35,7,0.800154265625,increasing,increasing,1
0.35,9,0.8282807144726563,increasing,increasing,1
0.35,11,0.8513162760788867,increasing,increasing,1
0.35,13,0.8705317737187507,increasing,increasing,1
0.35,15,0.8867688692244357,increasing,increasing,1
0.35,17,0.9006211413277232,increasing,increasing,1
0.35,19,0.9125263996298264,increasing,increasing,1
0.35,21,0.9228184954319947,increasing,increasing,1
0.37499999999999994,1,0.625,increasing,increasing,1
0.37499999999999994,3,0.68359375,increasing,increasing,1
0.37499999999999994,5,0.7247924804687502,increasing,increasing,1
0.37499999999999994,7,0.7569789886474612,increasing,increasing,1
0.37499999999999994,9,0.7833819836378099,increasing,increasing,1
0.37499999999999994,11,0.8056595106609168,increasing,increasing,1
0.37499999999999994,13,0.8248042604463992,increasing,increasing,1
0.37499999999999994,15,0.8414704488757254,increasing,increasing,1
0.37499999999999994,17,0.8561184660499379,increasing,increasing,1
0.37499999999999994,19,0.8690880645896052,increasing,increasing,1
0.37499999999999994,21,0.8806391132889964,increasing,increasing,1
0.39999999999999997,1,0.6000000000000001,increasing,increasing,1
0.39999999999999997,3,0.648,increasing,increasing,1
0.39999999999999997,5,0.6825600000000001,increasing,increasing,1
0.39999999999999997,7,0.710208,increasing,increasing,1
0.39999999999999997,9,0.73343232,increasing,increasing,1
0.39999999999999997,11,0.7534981324799999,increasing,increasing,1
0.39999999999999997,13,0.7711560474624,increasing,increasing,1
0.39999999999999997,15,0.786896817389568,increasing,increasing,1
0.39999999999999997,17,0.8010635103240191,increasing,increasing,1
0.39999999999999997,19,0.8139079785845882,increasing,increasing,1
0.39999999999999997,21,0.8256221336382272,increasing,increasing,1
0.42499999999999993,1,0.5750000000000001,increasing,increasing,1
0.42499999999999993,3,0.6116562500000002,increasing,increasing,1
0.42499999999999993,5,0.6385298632812502,increasing,increasing,1
0.42499999999999993,7,0.6604206607666018,increasing,increasing,1
0.42499999999999993,9,0.6791441334907916,increasing,increasing,1
0.42499999999999993,11,0.6956161086198975,increasing,increasing,1
0.42499999999999993,13,0.7103756846678735,increasing,increasing,1
0.42499999999999993,15,0.7237726355699916,increasing,increasing,1
0.42499999999999993,17,0.736049685107636,increasing,increasing,1
0.42499999999999993,19,0.7473837890349583,increasing,increasing,1
0.42499999999999993,21,0.7579089212944681,increasing,increasing,1
0.44999999999999996,1,0.55,increasing,increasing,1
0.44999999999999996,3,0.5747500000000001,increasing,increasing,1
0.44999999999999996,5,0.593126875,increasing,increasing,1
0.44999999999999996,7,0.6082877968750001,increasing,increasing,1
0.44999999999999996,9,0.6214209454492188,increasing,increasing,1
0.44999999999999996,11,0.6331225808288479,increasing,increasing,1
0.44999999999999996,13,0.643741814935861,increasing,increasing,1
0.44999999999999996,15,0.653503925147094,increasing,increasing,1
0.44999999999999996,17,0.6625643836868944,increasing,increasing,1
0.44999999999999996,19,0.6710359124216079,increasing,increasing,1
0.44999999999999996,21,0.6790033851966061,increasing,increasing,1
0.475,1,0.525,increasing,increasing,1
0.475,3,0.5374687499999999,increasing,increasing,1
0.475,5,0.5467969335937501,increasing,increasing,1
0.475,7,0.5545509862060547,increasing,increasing,1
0.475,9,0.5613188202517319,increasing,increasing,1
0.475,11,0.5673946432662386,increasing,increasing,1
0.475,13,0.5729502239351283,increasing,increasing,1
0.475,15,0.5780960805296871,increasing,increasing,1
0.475,17,0.5829082604856927,increasing,increasing,1
0.475,19,0.5874417350192462,increasing,increasing,1
0.475,21,0.5917377688241048,increasing,increasing,1
0.49999999999999994,1,0.5,flat,flat,1
0.49999999999999994,3,0.5000000000000001,flat,flat,1
0.49999999999999994,5,0.5000000000000001,flat,flat,1
0.49999999999999994,7,0.5000000000000002,flat,flat,1
0.49999999999999994,9,0.5000000000000002,flat,flat,1
0.49999999999999994,11,0.5000000000000002,flat,flat,1
0.49999999999999994,13,0.5000000000000003,flat,flat,1
0.49999999999999994,15,0.5000000000000004,flat,flat,1
0.49999999999999994,17,0.5000000000000002,flat,flat,1
0.49999999999999994,19,0.5000000000000003,flat,flat,1
0.49999999999999994,21,0.5000000000000004,flat,flat,1
0.525,1,0.475,decreasing,decreasing,1
0.525,3,0.46253125,decreasing,decreasing,1
0.525,5,0.45320306640624985,decreasing,decreasing,1
0.525,7,0.44544901379394525,decreasing,decreasing,1
0.525,9,0.43868117974826815,decreasing,decreasing,1
0.525,11,0.43260535673376144,decreasing,decreasing,1
0.525,13,0.42704977606487177,decreasing,decreasing,1
0.525,15,0.4219039194703129,decreasing,decreasing,1
