n,game,seed,replenish,true_loss,C0,Cstar,Ctilde,r_C0,r_Cstar,r_Ctilde,chain_violation,naive,drift_rate,naive_violation,joint_violation,usable
2,0,1826701615,True,0.14453408029255987,6.012850144964092,0.2875970723453833,0.1474278291266556,41.601607958435345,1.9898218590607921,1.0200212214879587,0,0.14574253046149718,1.0,0,0,True
2,1,1097657232,False,0.09541608976811444,6.997471515299619,0.2042145526918363,0.09736810078588061,73.33638941089777,2.1402527937178104,1.0204578810817972,0,0.10035684226001766,1.0,0,0,True
2,2,661058652,False,0.10206406763052289,4.098349743631582,0.2494885482685856,0.10348942458330314,40.154677731126846,2.4444307782416317,1.01396531596154,0,0.09641041797071528,1.0,1,0,True
2,3,161576974,False,0.17112859598227237,9.532349279890703,0.333200526350231,0.180027581323414,55.70284279594149,1.947076842637966,1.0520017434261162,0,0.19867371097491174,1.0,0,0,True
2,4,376383645,True,0.3206369302813963,7.997614440406653,0.6149457530690072,0.3207419716075568,24.942898603064265,1.9178881001927028,1.0003276020827305,0,0.31867582880998024,1.0,1,0,True
2,5,1394609703,True,0.32294830211805037,5.098002905938751,0.6249961865385991,0.32329585575347175,15.78581733516973,1.935282466077615,1.0010761896970566,0,0.3289742831228628,1.0,0,0,True
2,6,1081530687,True,0.17788017860150251,6.659596545755734,0.3782943125381,0.17806692140124145,37.43866572494819,2.126680530187553,1.0010498235453051,0,0.18013386368625026,1.0,0,0,True
2,7,2084654370,True,0.29345820163310155,7.846079647832981,0.6434808000883481,0.29436736652601114,26.736617358688118,2.192751119264559,1.0030981069462366,0,0.3029470062011231,1.0,0,0,True
2,8,1357791199,True,0.27655510975580855,7.587775954242381,0.4738681938696118,0.2776192112397475,27.436759208470974,1.7134675048601558,1.0038477014034508,0,0.2814244827258989,1.0,0,0,True
2,9,1202413558,True,0.27858608514257455,4.147981791618342,0.4536491832729306,0.27862486870419634,14.889407665481539,1.6283985721711922,1.0001392157171165,0,0.29213954864799985,1.0,0,0,True
2,10,595598246,True,0.3584011475673301,6.8195318368897,0.5712918262088187,0.35969762749469186,19.02765067349168,1.5940011076596634,1.003617398928998,0,0.3800722099958395,1.0,0,0,True
2,11,1440696408,False,0.03904477490375369,7.359231670792246,0.07491247322336164,0.040564043231698044,188.48185676400823,1.9186299167564085,1.038910925512809,0,0.03941474142781204,1.0,0,0,True
2,12,846428920,True,0.2911830612587103,4.764405925110215,0.6968041446751347,0.2914214970293013,16.3622358543622,2.3930105743892782,1.000818851788838,0,0.3071044144634511,1.0,0,0,True
2,13,1190382223,False,0.06335657043522058,7.1888233331046525,0.16060337607936706,0.06401330122662455,113.46610594168637,2.534912716646764,1.0103656303820208,0,0.0653020612892996,1.0,0,0,True
2,14,1642588604,True,0.36680256618533,6.39431321474092,0.8056109156282963,0.369292446939187,17.43257491691086,2.1963066507589666,1.0067880679782348,0,0.3838735357336466,1.0,0,0,True
2,15,1818006483,False,0.1754130564818821,7.695958724335871,0.26988933200085913,0.17619259394868123,43.87335172584923,1.5385931778044994,1.0044440105111538,0,0.17783231010390055,1.0,0,0,True
