game,unit_t,unit_s,unit_i,alpha_star,margin,delta_ctilde,T_fail,T_occ,identity_resid,cert_rise,occ_dominates
0,2,3,1,0.5633707845381859,-0.10329588212848073,-4.348780980645284e-05,-4.3415706966119676e-05,-7.210284023495915e-08,9.820161177287456e-17,0,0
0,0,0,0,0.5936395887154247,-0.07302707795124197,-0.001982928112075455,-0.0023312163552246636,0.00034828824314918995,1.8648277366750676e-17,0,0
0,1,3,0,0.7044601805867767,0.0377935139201101,-0.007256762936239225,-0.007164706268718316,-9.205666752072357e-05,1.8561541192951836e-16,0,0
0,2,0,1,0.5678452138830548,-0.09882145278361187,-0.00204816175213296,-0.0019102401204700444,-0.0001379216316629511,3.5561831257524545e-17,0,0
0,1,0,1,0.8580764599279679,0.19140979326130125,-0.0008827668115054532,-0.0008635349864338023,-1.9231825071643293e-05,7.697835424647081e-18,0,0
0,0,2,1,0.5826140020467839,-0.0840526646198827,-2.3515463437928652e-05,-2.8019109679561166e-05,4.5036462419085266e-06,2.760107680604973e-16,0,0
0,0,3,1,0.5776525860833127,-0.08901408058335392,-3.173143822265967e-05,-3.509537109568548e-05,3.3639328730845896e-06,5.877731027587041e-17,0,0
0,0,0,1,0.723345057054736,0.05667839038806932,-0.0022024202438889473,-0.0023299638639256437,0.00012754362003669468,1.734723475976807e-18,0,0
0,2,2,0,0.8262891170746389,0.1596224504079723,-0.00012370723099763836,-0.0001026104455434062,-2.1096785454300995e-05,6.884683795282953e-17,0,0
0,3,0,1,0.7664126314843103,0.09974596481764364,0.0,0.0,0.0,0.0,0,0
0,3,2,1,0.7611993079681879,0.09453264130152128,0.0,0.0,0.0,0.0,0,0
0,0,1,0,0.8830352266628843,0.21636855999621762,-0.004633085263946901,-0.005278059204339466,0.0006449739403926926,1.2750217548429532e-16,0,0
1,0,0,1,0.688535479977386,0.021868813310719326,-3.9473305039006146e-05,-3.294919989880202e-05,-6.524105140198084e-06,6.044427111606687e-18,0,0
1,1,2,1,0.6259507264071029,-0.04071594025956371,-0.0004503062250769685,-0.0004671101103138514,1.6803885236872204e-05,1.0679391398982219e-17,0,0
1,3,1,1,0.7160384794036017,0.04937181273693503,-0.000745122710902435,-0.0007451227109024601,0.0,2.5153490401663703e-17,0,0
1,3,0,0,0.6484109902750727,-0.018255676391593978,-0.0019453412108886292,-0.002470921038903818,0.0005255798280151882,8.673617379884035e-19,0,0
1,3,2,0,0.8657751333005204,0.19910846663385373,-0.0052656520098190995,-0.005468973642537524,0.00020332163271838576,3.903127820947816e-17,0,0
1,1,2,1,0.5801931436243917,-0.08647352304227496,-0.00282745997905115,-0.002779996877408269,-4.746310164309129e-05,2.1033522146218786e-16,0,0
1,0,3,1,0.5971608083339317,-0.06950585833273493,-4.830598279070841e-05,-3.7325502557439565e-05,-1.0980480233316123e-05,4.7271214720367993e-17,0,0
1,0,2,0,0.7187313247748491,0.052064658108182504,-0.005594707860341164,-0.0058428407065715835,0.0002481328462303828,3.729655473350135e-17,0,0
1,3,3,1,0.5692046168188576,-0.09746204984780904,0.0,0.0,0.0,0.0,0,0
1,2,2,1,0.7092539546450726,0.04258728797840594,-0.0020579442816172078,-0.002080107100140782,2.2162818523537092e-05,3.686287386450715e-17,0,0
