env,algo,budget,N,alpha_hat_mean,g_mean,p_hat_advisor,h_anchored,diag_certificate,cert_over_range,mean_return,Wtilde_proxy_mean,reward_range,eval_seconds
simple_spread,ippo,1,1,1.0,0.0,,,0.007178803497024619,0.004063911209855412,-21.64791228249669,0.0,1.7664764622847238,22.777174472808838
simple_spread,ippo,3,3,0.5077777777777777,0.5069135802469137,0.26166666666666666,0.5451361111111112,31.323422239429778,17.732148097188183,-21.64791228249669,0.6226116129507621,1.7664764622847238,59.98175048828125
simple_spread,ippo,5,5,0.4118333333333334,0.6413650666666666,0.26479166666666665,0.7130902079056296,37.03106551802503,20.963237443950895,-21.64791228249669,0.6297960563624898,1.7664764622847238,99.13951778411865
simple_spread,ippo,7,7,0.35714285714285715,0.7237604472383349,0.25,0.83056640625,41.20975074668849,23.328785651289493,-21.64791228249669,0.6603615530025628,1.7664764622847238,137.87101459503174
simple_spread,mappo,1,1,1.0,0.0,,,0.007178803497024619,0.004060213575080389,-19.343268698081374,0.0,1.7680851916472116,11.966739416122437
simple_spread,mappo,3,3,0.5061111111111112,0.5146913580246915,0.25916666666666666,0.5488340277777778,21.22064935750869,12.002051404400245,-19.343268698081374,0.3703933074573676,1.7680851916472116,31.844189882278442
simple_spread,mappo,5,5,0.4098333333333334,0.6451682666666666,0.26229166666666665,0.71737830875334,22.76209976757296,12.873870487183353,-19.343268698081374,0.3895130197041564,1.7680851916472116,52.17701768875122
simple_spread,mappo,7,7,0.3711904761904761,0.7053525215643466,0.2663888888888889,0.8038142312344866,25.980581862052556,14.694191198925271,-19.343268698081374,0.42895209151754776,1.7680851916472116,72.03408718109131
simple_reference,ippo,1,1,1.0,0.0,,,0.010772697613182124,0.007380020922475118,-22.846411590930074,0.0,1.4597109854221344,17.982549905776978
simple_reference,ippo,3,3,0.3470833333333333,0.7208796296296296,0.020625,0.959175390625,57.37602261104379,39.30642653514811,-22.846411590930074,1.1184424923360348,1.4597109854221344,40.98058319091797
simple_reference,ippo,5,5,0.22325000000000003,0.9113828,0.0290625,0.9951264625892353,61.088951165853054,41.85003180488274,-22.846411590930074,1.162538656257093,1.4597109854221344,67.35063004493713
simple_reference,ippo,7,7,0.17392857142857143,0.9658736459419848,0.03625,0.9991227781675034,60.43387140709307,41.40125820154472,-22.846411590930074,1.1505542056709528,1.4597109854221344,93.4514389038086
simple_reference,mappo,1,1,1.0,0.0,,,0.010772697613182124,0.00815882005254063,-24.716386936604977,0.0,1.320374459028244,9.147427082061768
simple_reference,mappo,3,3,0.3375,0.7347222222222222,0.00625,0.9875390625,59.52035442898502,45.078389711347654,-24.716386936604977,1.1320302751660347,1.320374459028244,22.673154830932617
simple_reference,mappo,5,5,0.20925000000000002,0.9298132000000001,0.0115625,0.9992101643974018,60.49444828514281,45.816130319322376,-24.716386936604977,1.1480407506227492,1.320374459028244,36.501670837402344
simple_reference,mappo,7,7,0.1533928571428571,0.9820864529842401,0.012291666666666666,0.9999638753888548,60.32548819751107,45.688166553834144,-24.716386936604977,1.1440668821434181,1.320374459028244,50.02208638191223
